Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
A1BG,33656503.34219204,9560031.91461138,93767521.23719436,13161083.400044242,13161083.400044242,13161083.400044242,13161083.400044242
A2M,9782405948.89392,2720238715.683391,6343128411.110203,1805205468.6819487,3788942648.4399824,3272758506.1607122,8867662943.747541
AADAT,9661108.617400683,38706804.0590547,9661108.617400683,11447149.353690928,11447149.353690928,11447149.353690928,11447149.353690928
AAK1,2878970051.8240666,2761355917.758601,3154316496.9449425,2995575465.152472,1953611114.5023358,1940834876.9615598,757394080.4652734
AAMDC,18954766.477827135,8940351.705677371,8940351.705677371,15047695.295670148,15047695.295670148,15047695.295670148,15047695.295670148
AARS,6065730718.881251,5564961669.048406,6257649307.941524,4779693964.706942,4981423397.679734,4373928333.739913,3546604461.82985
AARS2,26120497.20804402,26445248.05908479,21323136.54639632,25102247.652364437,25102247.652364437,25102247.652364437,25102247.652364437
AASDH,8284348.418111966,428455222.91966903,302154593.50762695,15290518.825819358,15290518.825819358,15290518.825819358,15290518.825819358
AASDHPPT,575535808.2356874,381302019.02137285,485181638.266414,376054447.0373534,48917217.87063281,474263985.39647883,369189630.82922214
AASS,31014125.286026802,9798312.770684522,9798312.770684522,9868376.197522093,9868376.197522093,9868376.197522093,9868376.197522093
ABAT,9106602460.411242,10282226345.947212,6709903884.565163,9532591644.735352,6329134345.017401,9075734167.277954,7042866472.976097
ABCA1,10010964.114577118,10010964.114577118,10010964.114577118,11234084.316137072,11234084.316137072,11234084.316137072,11234084.316137072
ABCA2,19052431.082601424,9987563.099049153,57845272.52563971,12237697.663509132,12237697.663509132,12237697.663509132,12237697.663509132
ABCA5,9950759.79331246,9950759.79331246,9950759.79331246,700961536.332327,11264967.276924627,11264967.276924627,11264967.276924627
ABCB1,23977917.58550246,9621001.753465679,9621001.753465679,13041502.555177197,13041502.555177197,13041502.555177197,13041502.555177197
ABCB10,9869559.341131287,9869559.341131287,9869559.341131287,10604639.552354924,10604639.552354924,10604639.552354924,10604639.552354924
ABCB6,10279662.61796357,10279662.61796357,10279662.61796357,9847385.160509331,9847385.160509331,9847385.160509331,9847385.160509331
ABCB7,19840431.52135141,6659216.619382021,6659216.619382021,22389386.934305236,22389386.934305236,22389386.934305236,22389386.934305236
ABCB8,67120807.94015309,62838118.77347378,59102556.34562294,24072584.990633503,24072584.990633503,24072584.990633503,24072584.990633503
ABCC5,9606904.391545853,9606904.391545853,9606904.391545853,9455185.82158298,9455185.82158298,9455185.82158298,9455185.82158298
ABCC8,9830912.070295036,9830912.070295036,9830912.070295036,11671965.717706565,11671965.717706565,11671965.717706565,11671965.717706565
ABCD2,9801331.102268523,9801331.102268523,9801331.102268523,12189700.458808145,12189700.458808145,12189700.458808145,12189700.458808145
ABCD3,195940392.19538325,213448322.88657925,187332044.91433072,358585484.34287864,49112611.432539225,219687972.86834773,49112611.432539225
ABCE1,1376226658.3787496,390177413.27767473,561798649.9238858,274070286.508717,213330175.97134858,166122315.9190797,36213703.09308111
ABCF1,94396072.50967836,24015625.61846091,108534845.88304922,33718438.822021484,33718438.822021484,33718438.822021484,33718438.822021484
ABCF2,28487492.788601242,8511464.805512054,8511464.805512054,18930000.563862413,18930000.563862413,18930000.563862413,18930000.563862413
ABCF3,44342160.80735779,27116951.79618859,91208494.3401074,30997365.45434353,30997365.45434353,128477297.85094142,30997365.45434353
ABHD10,3327259210.14093,3180356779.216498,2160577544.8398075,2243102075.4431205,1618356140.9023597,2492309784.0844293,1407823773.40118
