Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
A1BG,30863761.11992353,9560031.91461138,9560031.91461138,13161083.400044242,442112441.83350205,13161083.400044242,13161083.400044242
A2M,8707739361.726616,6167991720.849445,4210822440.2048984,1292541518.4312024,6536018646.233553,5584046941.943306,4974265871.139436
AADAT,9661108.617400683,9661108.617400683,9661108.617400683,11447149.353690928,11447149.353690928,11447149.353690928,11447149.353690928
AAK1,1107745770.0642667,1733893989.7723632,1389863330.331181,2346550299.1133885,1861406190.4254217,2523446757.290786,1612809072.1298966
AAMDC,24323283.253284406,44628588.302868776,47652073.69958887,15047695.295670148,15047695.295670148,15047695.295670148,15047695.295670148
AARS,4743729186.596589,5587895360.816438,4878199354.53161,7147199545.328912,5996663066.607615,7245460806.058521,6586579448.053762
AARS2,39110968.8543727,71089084.1677641,43363875.74280986,25102247.652364437,25102247.652364437,145547169.2317946,25102247.652364437
AASDH,450819365.1075326,1307630425.6740649,8284348.418111966,756286442.9781368,743741448.2084658,15290518.825819358,874021058.3580676
AASDHPPT,306310498.54193085,384131726.12229747,139989294.22922364,677315972.8401945,555504774.7502844,502363767.51164734,578980754.3880513
AASS,26092454.778315,9798312.770684522,9798312.770684522,9868376.197522093,9868376.197522093,9868376.197522093,9868376.197522093
ABAT,14009368717.93183,20012698385.42317,12912904389.236343,18892158481.25606,16575466158.999516,18329767192.654865,16622163965.761982
ABCA1,10010964.114577118,10010964.114577118,10010964.114577118,11234084.316137072,11234084.316137072,11234084.316137072,11234084.316137072
ABCA2,9987563.099049153,9987563.099049153,9987563.099049153,55726303.78224768,12237697.663509132,76908130.06505676,80608200.52646926
ABCA5,9950759.79331246,9950759.79331246,9950759.79331246,11264967.276924627,11264967.276924627,11264967.276924627,11264967.276924627
ABCB1,17170826.182499968,9621001.753465679,9621001.753465679,13041502.555177197,13041502.555177197,13041502.555177197,13041502.555177197
ABCB10,15526114.50827577,9869559.341131287,9869559.341131287,10604639.552354924,10604639.552354924,10604639.552354924,10604639.552354924
ABCB6,10279662.61796357,10279662.61796357,10279662.61796357,9847385.160509331,9847385.160509331,9847385.160509331,9847385.160509331
ABCB7,51384675.04401032,84445880.35293415,43926016.85685033,22389386.934305236,22389386.934305236,194110986.03299496,181547527.61598822
ABCB8,44820153.05388431,70485040.17216249,38452005.78690629,143517282.0667389,100719043.30317669,137803479.9358458,73956631.49273586
ABCC5,32646341.230142865,9606904.391545853,9606904.391545853,9455185.82158298,9455185.82158298,9455185.82158298,9455185.82158298
ABCC8,35428717.28810926,137210686.87114167,9830912.070295036,11671965.717706565,11671965.717706565,207885335.0125098,232667108.324979
ABCD2,24375405.32101634,69091356.85700296,9801331.102268523,12189700.458808145,12189700.458808145,12189700.458808145,12189700.458808145
ABCD3,659314107.8872159,886621427.2150347,155521826.13801855,505159374.47197556,433213110.7213099,314068990.290064,510683368.436625
ABCE1,418106225.12669516,302348008.53556854,158908105.89006278,503930773.62559086,344478241.7465404,316890497.99062777,247467635.8116598
ABCF1,145653442.64150453,113018037.28468204,98071567.48142913,161621385.3373533,118334030.39230631,209398436.23960343,128962453.09728877
ABCF2,19017005.973085828,64308125.98332659,48223417.051508844,18930000.563862413,18930000.563862413,18930000.563862413,18930000.563862413
ABCF3,73552471.10843813,63336549.10146438,105446394.05912179,145871627.25280058,30997365.45434353,118485224.40120973,30997365.45434353
ABHD10,2509787778.169764,3992887822.002415,3629248850.121473,3998968169.472984,4612263533.923779,4208672753.745303,3835215647.5502157
ABHD11,110291299.58925831,212823422.9518654,92688995.75667298,725624134.8823738,526429379.7117899,663633386.6968623,744934749.517656
ABHD12,305732080.124298,603347867.6644858,726313618.7829362,886557124.0764331,823601578.4852113,903774588.7594726,917268782.9822639
ABHD14B,431726141.481772,476522222.2081162,405943985.1767943,563023851.9521817,371630902.98412275,437064625.0794403,533163326.209297
ABHD16A,570564586.4368103,751256872.0569558,538488085.114301,617376164.5850078,563089207.1415222,620650921.5896643,602071128.7678567
ABHD17A;ABHD17C,30077286.57689056,9320998.56041772,9320998.56041772,11909169.127058635,11909169.127058635,11909169.127058635,11909169.127058635
ABHD17B,8364754.69587441,8364754.69587441,8364754.69587441,18459979.2023921,18459979.2023921,18459979.2023921,18459979.2023921
ABHD6,260417357.1837877,194327081.110444,109629564.24988988,483895587.24995404,65212305.18160113,65212305.18160113,65212305.18160113
ABI1,669524115.3845494,1041417459.0095367,898298084.8984219,1351208579.7337134,1050441461.5946395,1341904121.56622,1070629460.7744067
ABI2,1267704205.7469177,1319628408.7612052,1502340084.5898783,1470207420.8025162,1576355975.5788045,1096737876.8809493,1042917051.8601233
ABL1,10250517.889129486,10250517.889129486,10250517.889129486,10180404.369877102,34343771.509321935,10180404.369877102,10180404.369877102
ABL2,9801317.19337415,9801317.19337415,9801317.19337415,12028454.76227214,12028454.76227214,12028454.76227214,12028454.76227214
ABLIM1,998249180.4127085,2529218593.149819,2238198853.293908,2046628281.1877427,1573702826.6853528,2466350475.836862,768834837.518671
ABLIM2,705495387.581091,1411809345.8571744,938536453.2255787,1225620135.230116,1073626964.9624419,1335150626.873225,804642533.870607
ABLIM3,463460734.3680522,507801509.4634077,263975516.55986142,528747304.378703,614709771.5386121,524933611.3370287,218799879.96260425
ABR,474817319.6038229,499297093.0923276,534379059.1609749,491950234.69992906,402522091.76635754,793027530.4761573,532247153.8980211
ABRACL,26886600.07748313,42581420.46639148,26968188.85277317,207336372.27589616,246666474.57252717,45185769.24161067,216155929.24140272
ACAA1,394953138.5891828,671274570.0765768,398639943.49117106,1131506335.7928505,914445138.5028666,957195840.0231715,846385178.5066931
ACAA2,1636075746.5953162,1715315208.4304326,1441929389.0387375,2355342556.9649587,1998366807.317717,2147741541.4062037,2098144380.1309066
ACACB;ACACA,106164249.89854412,134474014.37142903,86049338.34956871,334835947.07772124,53351622.41589728,73305759.70119596,219167737.21231577
ACAD10,12862314.40135443,12862314.40135443,12862314.40135443,9753423.226585682,9753423.226585682,9753423.226585682,55964339.17597669
ACAD8,406742754.4195296,223628328.86374322,353624026.83622277,631494891.1144292,668503137.9828444,439805724.87736017,527288365.7107118
ACAD9,327803951.3475348,538573865.5208046,642924843.1718174,832457409.6751274,908505912.6783557,1143390729.8279805,899446009.6397141
ACADM,1172719364.261853,971783221.7207758,973757878.0662736,897124753.4778333,986655829.2960969,920789874.2612255,837249796.2044551
