Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
A1BG,9560031.91461138,9560031.91461138,9560031.91461138,13161083.400044242,13161083.400044242,13161083.400044242,13161083.400044242
A2M,5392652504.259995,6220043208.562553,4297283371.708429,1754597629.1705697,6936121963.6592,4190586819.6339827,6046867977.923485
AADAT,65583478.8763673,9661108.617400683,45750660.3066433,11447149.353690928,11447149.353690928,11447149.353690928,11447149.353690928
AAK1,3241895554.1895885,3356937899.1655684,4135336223.159852,4710712836.534323,4090143007.335649,4459401351.132254,3072289263.744996
AAMDC,19813183.551186666,53922227.46478056,39548947.85645768,15047695.295670148,15047695.295670148,15047695.295670148,15047695.295670148
AARS,5381569781.0225315,6544076516.8981905,5358251232.141054,6288502339.173666,6229504467.202835,6571604133.3554945,6236784623.411391
AARS2,60721495.85115304,50874237.73398201,58691543.72156981,25102247.652364437,25102247.652364437,25102247.652364437,25102247.652364437
AASDH,185089902.32929584,212182390.5134909,8284348.418111966,631721212.8376948,15290518.825819358,15290518.825819358,15290518.825819358
AASDHPPT,1700988336.8497021,495469465.72614044,487321963.1804494,915654129.9908726,785134881.7494245,911487811.2827369,898753262.303056
AASS,23303782.040675428,9798312.770684522,9798312.770684522,9868376.197522093,9868376.197522093,9868376.197522093,9868376.197522093
ABAT,11629516628.421585,7778208297.312705,12805786628.987238,16286231321.40031,12450462913.922379,14177854833.023474,12555205013.90117
ABCA1,10010964.114577118,10010964.114577118,10010964.114577118,11234084.316137072,11234084.316137072,11234084.316137072,11234084.316137072
ABCA2,17765273.566320058,115008821.30425504,64142317.545299985,72608072.69174246,103297942.9329893,43580114.70538889,138418096.81597638
ABCA5,9950759.79331246,9950759.79331246,9950759.79331246,11264967.276924627,11264967.276924627,11264967.276924627,11264967.276924627
ABCB1,9621001.753465679,44899529.688545495,9621001.753465679,13041502.555177197,13041502.555177197,13041502.555177197,13041502.555177197
ABCB10,9869559.341131287,39122162.1256224,9869559.341131287,10604639.552354924,10604639.552354924,10604639.552354924,10604639.552354924
ABCB6,10279662.61796357,10279662.61796357,10279662.61796357,9847385.160509331,9847385.160509331,9847385.160509331,9847385.160509331
ABCB7,47941041.3372353,67210329.72540718,34228627.89875331,22389386.934305236,22389386.934305236,22389386.934305236,22389386.934305236
ABCB8,140000540.0609699,139276403.66822034,89236691.00672232,155518040.1481851,120574654.2087907,134295232.5537979,24072584.990633503
ABCC5,9606904.391545853,9606904.391545853,9606904.391545853,9455185.82158298,9455185.82158298,9455185.82158298,9455185.82158298
ABCC8,9830912.070295036,9830912.070295036,9830912.070295036,11671965.717706565,11671965.717706565,11671965.717706565,11671965.717706565
ABCD2,9801331.102268523,9801331.102268523,9801331.102268523,12189700.458808145,12189700.458808145,12189700.458808145,12189700.458808145
ABCD3,1206852707.6840255,603572702.757775,428130062.83602524,613738468.1165112,451439589.1336494,353895956.6153199,823088815.9920747
ABCE1,150648490.43258646,508278976.34748137,231579953.13168135,475215850.9262756,427832674.79136425,469062312.58503085,222134711.9427919
ABCF1,240321509.30098397,278194911.505929,190975331.29765552,33718438.822021484,187027552.4629242,33718438.822021484,33718438.822021484
ABCF2,8511464.805512054,112150313.18284285,87182467.52691646,347461768.5951575,18930000.563862413,249226220.7961125,276136607.5728629
ABCF3,74705831.57748194,52122848.51576637,45623784.88559871,132099652.1151055,30997365.45434353,116969098.03086723,92490117.48363657
ABHD10,3107987676.0797973,1917856162.2456949,2670093235.397254,3535965413.6843443,3410626111.0218854,3398384180.2927666,3011384642.8432713
ABHD11,193916165.24186963,222719139.6082067,219938450.87577644,678494717.2524983,561674938.5962323,302753617.8603117,457331206.12569106
ABHD12,423019194.02426785,527878065.5236428,1195743056.5864048,866367202.6504867,505376844.137343,302020568.7700454,393804990.8258067
ABHD14B,268221354.815407,365448353.88425225,565777645.2328713,488188763.9885947,371918164.1239417,469580611.02673817,537864286.5723459
ABHD16A,718342322.797778,503463387.39680374,646927945.2504824,546368270.9789392,544383775.0462742,504355628.3559641,498622805.57011724
ABHD17A;ABHD17C,41492993.78577536,9320998.56041772,9320998.56041772,11909169.127058635,11909169.127058635,11909169.127058635,11909169.127058635
ABHD17B,8364754.69587441,195480502.07233995,121311956.71866003,18459979.2023921,18459979.2023921,18459979.2023921,18459979.2023921
ABHD6,74875698.26548871,105366591.59655854,97428874.47720252,65212305.18160113,65212305.18160113,65212305.18160113,65212305.18160113
ABI1,964414835.4628079,771451234.4134583,804090332.9312421,1244111709.9157815,1045430316.5540475,1020677244.0398545,1042403331.732484
ABI2,2364971732.675058,2063050544.6514008,2433206514.2609935,2225725242.6558204,1852898053.575426,1975603574.64502,1726872590.1371355
ABL1,10250517.889129486,10250517.889129486,10250517.889129486,10180404.369877102,30559438.300324142,54812496.18716796,19167711.44533071
ABL2,9801317.19337415,73230371.84868133,9801317.19337415,12028454.76227214,12028454.76227214,12028454.76227214,12028454.76227214
ABLIM1,554684759.0120721,851197407.0723892,753646087.0122805,1143949881.3627229,938290478.8165132,995673147.2362103,1144754568.7880468
ABLIM2,1163300609.3990564,1002640226.569564,1663043462.667796,1776009438.9835453,1287882787.1733134,1574493128.1304264,1071850048.8980716
ABLIM3,9679635.92660201,9679635.92660201,9679635.92660201,12399367.166635074,12399367.166635074,12399367.166635074,12399367.166635074
ABR,2874039972.4267683,2686996201.569843,2911980065.448398,3451697452.3596907,3062663696.3209357,3464775346.308102,2882770064.6723084
ABRACL,190333576.35837188,250472530.539731,249285116.53213525,510350089.53630227,621563674.0084355,575916275.1746223,405790999.59997237
ACAA1,1043114307.4113567,1039427468.617597,926152786.4594092,1121764549.1801202,1240521413.9826765,1093226687.2283337,1252738788.286987
ACAA2,2092397819.6213436,2573778190.713424,2381798650.184249,2428052381.832421,2366089284.360644,2186295550.9315357,2351575622.788568
ACACB;ACACA,1093447340.9482036,838050537.3858755,1080789188.1490266,1167745233.0666971,819107105.275846,535699952.7906281,518376781.13011295
ACAD10,12862314.40135443,12862314.40135443,12862314.40135443,9753423.226585682,51732429.00266991,9753423.226585682,9753423.226585682
ACAD8,388292479.4064373,80053752.61433949,269992476.4657652,506746089.1750213,530196019.3782067,310876327.42803836,308959089.1622301
ACAD9,675353959.4820126,367066866.80923223,1114505749.613863,749763096.7688372,738113907.7446016,1002614405.4137698,793362856.1276512
ACADM,703342985.9697174,481713183.8054084,651608340.6746565,825793156.927397,276435076.4487165,632854589.9677652,736953418.409118
ACADS,160899826.9094213,397458009.38131934,247574940.01688355,351824195.6142001,426796682.121654,471498226.15790343,436685820.6018048
ACADSB,557013860.1659126,553359825.859992,540243061.8486035,821420337.0774004,760034712.4255452,784862945.8526428,579791759.9065084
ACADVL,1379741628.057,1907445297.807858,1921498305.889756,2035408215.8568435,1777827815.5324779,1526517039.1352382,2353697760.9482226
ACAN,9835113.614005318,957203260.3424699,230344168.4856948,240989473.52086872,617548364.6709249,280003673.76218635,470518999.0929253
ACAP1;ACAP2,58266038.020854376,7089641.446362237,69611109.97455166,17933200.793668076,17933200.793668076,17933200.793668076,17933200.793668076
ACAT1,7904149648.267283,6261500006.954366,6446342647.72832,8624159490.060863,6882406557.737094,8568319258.778124,7797233357.7466135
ACAT2,2836604099.4471974,4054850276.3389215,3393442588.2099686,3855757419.8789563,3988950731.8098516,4146003573.6656094,4417953053.337795
ACBD3,25034466.402067844,9994137.391849514,9994137.391849514,76525043.68670912,11501930.977750698,78058231.71384794,11501930.977750698
ACBD5;ACBD4,23705694.300123718,9373102.3618768,9373102.3618768,11637087.561099174,11637087.561099174,11637087.561099174,11637087.561099174
ACBD7,134049513.52904274,88149469.3421372,335630486.0001165,1086201918.1792123,620971533.1294765,873134082.1136333,54416820.9817013
ACE,24459173.626597025,9667097.55779064,9667097.55779064,11984967.172106508,11984967.172106508,11984967.172106508,11984967.172106508
ACHE;CES4A,7689499.29051759,7689499.29051759,7689499.29051759,18567157.460384306,18567157.460384306,18567157.460384306,18567157.460384306
ACIN1,33880689.68334483,154046636.87534463,10485538.809148565,126542081.11429663,176047358.0987195,172415157.7331,140986473.74427214
ACLY,4295237711.420893,4405275922.075055,4565831842.694797,5395408170.836063,5187592554.97878,5116639219.315105,5408726817.890246
ACO1,1547295542.1109648,1606107164.5096545,1705603698.5423837,1531176660.5123804,1883508938.2409322,1858498535.4696577,1861940075.1635451
ACO2,34293870859.76535,33749475697.646355,45891726831.34437,46399790406.68324,45004836689.33058,44235712795.41805,42814112174.944595
ACOT1,2076706479.0687294,1639736729.8256578,2237601928.6816072,1929788366.1381927,1932237742.709113,1940804369.5528963,1205192391.3182013
ACOT13,388314312.9654398,379698099.7846837,1275109020.5422225,1853986022.9072886,2167206504.561156,1893505113.974401,59264918.70415559
ACOT7,13244526763.341492,11724179770.769756,12762448435.335445,13035651606.357103,12343854214.319492,11968894240.918615,11915504197.912481
ACOT8,154284154.28545493,125195535.43803686,118507922.17200504,214864582.9647641,256834801.18276095,301215123.7325214,19686530.43578627
ACOT9,1440251414.0749972,1528320588.9502003,1419828110.4584768,1930189715.6346266,1583257345.8385997,1523472231.863478,1746259513.7624753
ACOX1,622000630.2565691,681414482.1167876,251204674.24764395,368432454.78160113,587014155.3255427,50437998.40676603,150367721.09303424
ACOX3,140678442.93854252,122238928.25008932,6951497.605463447,30254387.93422983,1293928133.4825814,30254387.93422983,30254387.93422983
ACP1,1688520494.6014204,1583938435.0301275,1831906123.2058187,1809873269.613992,1938268093.2887776,2139536352.9597957,2045660010.2193499
ACP2,73682677.36773068,65421258.479786694,94984639.02648214,35208292.568181045,35208292.568181045,35208292.568181045,35208292.568181045
ACSBG1,89369780.39283484,84118329.71765023,66048905.51631419,33156806.500695627,33156806.500695627,33156806.500695627,33156806.500695627
ACSF2,17708552.416886345,46486696.20430931,41294012.86058388,17289681.040632173,135877051.55872017,17289681.040632173,17289681.040632173
ACSF3,194695678.141696,162368797.1946191,220838238.8234776,766081127.5439819,753222964.2328769,516533584.5368761,53583681.82468526
ACSL1,171607128.29135445,172516496.49084413,150180105.88749248,442010003.0482546,308602777.8548608,295862282.9115705,284487913.2545851
ACSL3,1397016773.2748687,1166768595.1578,1120574782.3825517,1281460698.4479625,1146354169.9666696,1389991576.5309956,1164063165.3592002
ACSL4,168434596.5193533,98592097.04122359,99033694.83784415,21583353.91139081,107520107.17240234,126246232.133149,21583353.91139081
ACSL6,2183679722.049305,2181707655.7437,3173977943.9033117,3273757500.908972,2845855952.4835415,3249804931.694124,2375390480.052725
