Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
A1BG,9560031.91461138,9560031.91461138,9560031.91461138,13161083.400044242,13161083.400044242,913809246.0619063,13161083.400044242
A2M,5238315947.8096695,4290653182.2709823,6095324096.719821,2217606834.0036755,6775749688.503874,6940680755.604766,4689573416.040161
AADAT,9661108.617400683,9661108.617400683,9661108.617400683,11447149.353690928,11447149.353690928,11447149.353690928,11447149.353690928
AAK1,2760515022.0034814,2905271983.00717,2960528883.4947634,3722297361.764542,3388481548.5552087,3234672836.385269,2189158320.531373
AAMDC,8940351.705677371,8940351.705677371,54849165.877822235,15047695.295670148,15047695.295670148,15047695.295670148,15047695.295670148
AARS,5140798515.536073,5154656170.858903,6374582936.761502,7105586733.827688,6183216871.420321,5792306202.615388,5849858589.906066
AARS2,4482940.261410714,47469558.456762195,4482940.261410714,25102247.652364437,174632636.10809994,107497717.48245257,25102247.652364437
AASDH,537076322.1552118,1257067533.974137,196807324.06438377,906605914.3439606,1073271844.7046208,15290518.825819358,854716882.1150349
AASDHPPT,954864688.6032267,437511114.1137844,544571702.9897923,621899276.9755292,497160192.6094364,456068754.6822063,546021208.1803367
AASS,9798312.770684522,37846603.419392526,9798312.770684522,9868376.197522093,9868376.197522093,9868376.197522093,9868376.197522093
ABAT,15811291984.928198,23176314752.77504,22626601056.09834,21068146377.89187,19262689416.007767,21482437804.196873,19004027937.648407
ABCA1,10010964.114577118,10010964.114577118,10010964.114577118,11234084.316137072,11234084.316137072,11234084.316137072,11234084.316137072
ABCA2,11005161.993420348,66372286.05996184,133830936.49814096,69705377.06210405,51774873.88529825,12237697.663509132,144632001.64699453
ABCA5,28034931.326403428,9950759.79331246,9950759.79331246,11264967.276924627,11264967.276924627,11264967.276924627,11264967.276924627
ABCB1,26364996.96355598,64560067.5467357,9621001.753465679,13041502.555177197,13041502.555177197,13041502.555177197,13041502.555177197
ABCB10,24124332.98777822,9869559.341131287,9869559.341131287,10604639.552354924,10604639.552354924,10604639.552354924,10604639.552354924
ABCB6,21334060.288940728,10279662.61796357,10279662.61796357,9847385.160509331,9847385.160509331,9847385.160509331,9847385.160509331
ABCB7,46399099.689336665,53293875.72893277,68645842.5397943,158141026.32003415,22389386.934305236,169089461.99081478,22389386.934305236
ABCB8,186500661.3074385,107460927.73168615,61658706.28848698,184374764.2016791,170211425.2286758,161724078.90224087,83177617.04358241
ABCC5,9606904.391545853,9606904.391545853,9606904.391545853,9455185.82158298,9455185.82158298,9455185.82158298,9455185.82158298
