Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
A1BG,25469344.420979507,9560031.91461138,9560031.91461138,13161083.400044242,13161083.400044242,13161083.400044242,13161083.400044242
A2M,7246110580.10424,4320215354.434811,4832375689.152284,2910785331.5806503,7004349600.152719,4866863962.384487,5866221804.151582
AADAT,22243454.427380227,51575080.40426609,61396959.08380575,11447149.353690928,11447149.353690928,11447149.353690928,11447149.353690928
AAK1,2415513685.510508,4095017795.5861773,3779685164.293079,4298905102.935572,3609355464.3989935,3728890473.7314644,3600338625.24169
AAMDC,8940351.705677371,8940351.705677371,8940351.705677371,15047695.295670148,15047695.295670148,15047695.295670148,15047695.295670148
AARS,4995076074.23422,7837048779.141575,5614088526.725058,5564276809.857789,5245860542.554141,5584248583.285015,4991215599.9083805
AARS2,44683903.54293079,47450784.666252226,40847991.77384693,25102247.652364437,25102247.652364437,25102247.652364437,133556569.208393
AASDH,496765799.0786213,8284348.418111966,1181538663.9814475,779802791.4623754,971902315.4827005,793527472.7869772,771338102.0778627
AASDHPPT,729609239.2497705,699756816.9412434,289427523.5231141,648475972.6099397,590086901.5538416,412950848.7803084,455263848.7006402
AASS,30835238.88026138,9798312.770684522,9798312.770684522,9868376.197522093,9868376.197522093,9868376.197522093,9868376.197522093
ABAT,8967874430.00187,14971348813.782257,22653797276.87279,18250742417.031475,16260643623.462421,14321140982.066051,18458550178.727818
ABCA1,10010964.114577118,10010964.114577118,10010964.114577118,11234084.316137072,11234084.316137072,11234084.316137072,11234084.316137072
ABCA2,22801900.803332448,44879199.77839206,9987563.099049153,84679400.30346161,34871399.93821063,12237697.663509132,12237697.663509132
ABCA5,9950759.79331246,9950759.79331246,9950759.79331246,11264967.276924627,11264967.276924627,11264967.276924627,11264967.276924627
ABCB1,9621001.753465679,74462770.7630072,9621001.753465679,13041502.555177197,13041502.555177197,13041502.555177197,13041502.555177197
ABCB10,9869559.341131287,31496224.298813798,39197585.79839673,10604639.552354924,10604639.552354924,10604639.552354924,10604639.552354924
ABCB6,10279662.61796357,10279662.61796357,10279662.61796357,9847385.160509331,9847385.160509331,9847385.160509331,9847385.160509331
ABCB7,18472166.85019826,93661270.30148463,47447101.060671546,158793979.82794634,77359174.52816927,77886053.11990803,136361967.08419037
ABCB8,107216849.79493926,158592245.97102478,103378339.43005891,117992237.8851592,128146788.27650179,131190464.21194093,103934752.90584937
ABCC5,9606904.391545853,9606904.391545853,9606904.391545853,9455185.82158298,9455185.82158298,9455185.82158298,9455185.82158298
ABCC8,16699943.39519841,83978673.29101786,72412446.5766374,11671965.717706565,11671965.717706565,11671965.717706565,11671965.717706565
ABCD2,67028668.518787846,9801331.102268523,9801331.102268523,1072376451.0854225,12189700.458808145,12189700.458808145,12189700.458808145
ABCD3,370537991.4637544,927961525.3414241,394142063.162207,640431850.8157173,533470265.1527459,626331266.7120957,691378503.6081886
ABCE1,393852038.60591036,319442042.16371673,194750658.31891465,36213703.09308111,368598149.44188833,36213703.09308111,36213703.09308111
ABCF1,82474870.87041593,148246363.16739288,133821300.58703695,175029856.9322068,33718438.822021484,185142634.43145713,187954742.73094007
ABCF2,65170438.04073279,63142658.85276477,75501813.72603215,158001528.3104875,45930724.12701273,68700953.5836634,185990980.70244414
ABCF3,42642926.508285336,36924889.4121701,38308680.85732847,215074670.14205188,155547714.21408993,30997365.45434353,30997365.45434353
ABHD10,2284230951.7075076,3606525850.2478776,4939208928.46168,4274721015.651069,3547501401.4601927,3316515551.553833,4638178772.135448
ABHD11,176535561.07272023,687334385.5897412,715152924.7385348,265244021.6525606,566391123.6853414,386769930.8398985,512505746.8459858
ABHD12,368629223.8940922,744692122.302692,551182423.3390701,967522378.7068729,898798810.318238,941043779.5742778,1178116126.1793118
ABHD14B,557849870.3754334,383540030.54484475,794536543.2859643,671776914.1818311,565228717.2672422,724593977.4121344,715818601.1352127
ABHD16A,507102302.887477,449291400.7941315,577518234.434893,500176309.9282513,473750266.9570335,435651108.98189276,499094266.1525033
ABHD17A;ABHD17C,14992272.197419198,9320998.56041772,29839967.418100618,11909169.127058635,11909169.127058635,11909169.127058635,11909169.127058635
ABHD17B,26153777.43309975,155999248.06203485,8364754.69587441,325131427.33123356,18459979.2023921,18459979.2023921,18459979.2023921
ABHD6,82171017.58510916,117438193.8345893,106251090.1590372,65212305.18160113,65212305.18160113,65212305.18160113,65212305.18160113
ABI1,633954228.9396445,874735075.298932,550112590.7291894,749916197.9098656,337603759.3347755,933600966.4224596,806440139.9130987
ABI2,1960277629.2008026,1895837589.7606275,1431579252.6702385,1983415334.0533571,1749318662.86353,2295225579.3541007,1888800529.8507793
ABL1,10250517.889129486,10250517.889129486,10250517.889129486,10180404.369877102,10180404.369877102,10180404.369877102,10180404.369877102
ABL2,9801317.19337415,9801317.19337415,79821691.79923582,12028454.76227214,12028454.76227214,12028454.76227214,12028454.76227214
ABLIM1,561912496.660174,682432428.5233879,685246673.5740166,947776424.6670383,834394516.6579598,671272926.880192,955725315.1347483
ABLIM2,1109140452.3918846,1613653661.2802444,1878211227.3792214,1973580003.086277,1866376381.7640986,1665170209.123552,2248779405.9436727
ABLIM3,9679635.92660201,9679635.92660201,59708799.40624004,12399367.166635074,12399367.166635074,12399367.166635074,12399367.166635074
ABR,2520144059.768998,2824628106.811138,2238587877.396029,2035153469.7843974,2223571985.089517,2222692897.3015633,2284455215.717996
ABRACL,221213811.88919222,298998232.88490087,286043583.8542334,488526387.2974777,302783991.40198743,385933067.17456156,553383657.4615017
ACAA1,1008620012.8531592,963316998.6602407,979238219.5641892,1100254557.0353541,922361931.7374811,832501708.7697631,951718974.5814753
ACAA2,1788932093.1192403,2633993048.7459416,2589984428.3535852,2837171064.8051295,2977305447.9133444,2504114351.83057,2582170494.5237455
ACACB;ACACA,638991062.6910161,687906257.3375952,436318917.98074806,796697750.8232332,334718755.1709408,578709289.8219196,723981191.0135509
ACAD10,12862314.40135443,12862314.40135443,12862314.40135443,9753423.226585682,9753423.226585682,9753423.226585682,9753423.226585682
ACAD8,188646304.42261186,171319729.49636957,237528198.3838164,411006821.36532515,376209939.0108227,41712865.990669586,246161458.82301643
ACAD9,557768471.6513638,911452262.6601444,1101794550.7217638,930745851.9995568,904018173.9246923,1001734476.3623222,1089485755.4277027
ACADM,823632693.2319247,818003638.0705664,951106846.8610469,1162068465.4912012,1274397882.5486162,900267506.5689054,1032745190.8767776
ACADS,273989250.1512299,523214377.3377018,567021323.171106,407073140.4942031,366305727.43308306,465376451.4094425,433045585.6718824
ACADSB,559293405.8322372,710678281.8257736,798615075.249661,1061567116.7531133,1092291162.2944195,911659634.5124387,826352387.5079107
ACADVL,1554723744.6048226,1914527081.326768,2020165058.3909528,1791803567.3324766,2194946762.1059237,1780637810.690318,2768380462.497659
ACAN,121862785.81869896,385270856.94066095,645046180.2072636,1186594327.590663,1361199134.5513854,644758002.1327802,843779865.4633803
ACAP1;ACAP2,18844507.943656806,69008742.35361773,63478058.305912234,17933200.793668076,17933200.793668076,17933200.793668076,17933200.793668076
ACAT1,6782870425.783338,8533602961.496145,8527907900.019901,8650371198.564516,8398062236.680768,8271491618.293042,8045169383.601458
ACAT2,3472306694.217325,2584583654.3818364,2028049958.0331373,2875641724.249416,2073372839.3934903,2668015722.927294,3106424987.962042
ACBD3,20174726.226271946,48947107.38445982,36517828.5927254,11501930.977750698,11501930.977750698,11501930.977750698,11501930.977750698
ACBD5;ACBD4,9373102.3618768,78140071.10801807,9373102.3618768,11637087.561099174,11637087.561099174,11637087.561099174,11637087.561099174
ACBD7,65789478.833938085,951113649.2581893,1239852299.416076,684749151.6975468,268818492.00747836,487234118.2766236,54416820.9817013
ACE,20715531.621418525,9667097.55779064,9667097.55779064,11984967.172106508,11984967.172106508,11984967.172106508,11984967.172106508
ACHE;CES4A,7689499.29051759,7689499.29051759,7689499.29051759,18567157.460384306,18567157.460384306,18567157.460384306,18567157.460384306
ACIN1,138828209.51669776,183298927.13278627,101343537.14692639,81300989.41617914,55637881.28372784,87208916.12505756,11541802.73615041
ACLY,4887140783.532439,4960823964.362954,5595692779.622856,5692274134.179645,5164678788.151281,4376074068.865559,5401564910.915052
ACO1,1377252667.6604555,1408134902.2074692,2002213083.7149556,1591397400.7982414,1662209934.4155571,1571602260.848172,1689582677.2720582
ACO2,32482738793.177204,41546160401.56089,55621560189.98686,54242894584.338585,57673716421.376884,53360526162.65461,62789953249.0878
ACOT1,1699463031.5260267,1650628889.0716858,2584604534.334863,1878479013.6819696,2134507448.2988403,1390833408.1708481,1653365789.4562032
ACOT13,251847115.48044777,413704582.8894065,1649218896.734919,1565314231.5995138,59264918.70415559,2090397147.533463,2410846917.0309615
ACOT7,11611428070.775612,11396007697.125172,7788229949.607658,11897407666.29016,11158551169.438332,10737522468.229834,10536128922.171503
ACOT8,133670649.92310013,178606324.94657683,114194128.85794698,134100203.65330768,185755175.9324122,140781857.0264008,125838275.37190725
ACOT9,953707810.9310775,1491411133.4698238,1703287644.5177062,1646961012.4848871,1497688883.9163985,1351413272.491109,1693203628.9406717
ACOX1,336601149.4867309,505786854.4348826,256808861.31602985,431078888.10754347,558238183.9915667,356037514.61256295,532635474.16196626
