,genes
0,CCDC47
1,MAPK1
2,COX4I1
3,CACNA1E
4,F2
5,VPS35
6,ANXA11
7,DLGAP2
8,GC
9,PIK3CA
10,PSMD3
11,TRAPPC1
12,NDUFA1
13,AP1G1
14,SF1
15,EIF3E
16,LLGL1
17,NDUFS2
18,ESD
19,GNB4
20,NISCH
21,PSMG1
22,GART
23,GRIA2
24,NDUFS3
25,NDUFAF7
26,LRMP
27,PHPT1
28,TAGLN3
29,P2RX7
30,MICU1
31,HOPX
32,EIF4EBP2
33,ADAM23
34,ADCYAP1R1
35,AK5
36,PNN
37,EDNRB
38,ARHGAP1
39,LUM
40,MATR3
41,SNX18
42,RAC3
43,RASA1
44,RPS12
45,VAMP1
46,ERMP1
47,CHERP
48,RPA2
49,PSMD8
50,JAM3
51,YKT6
52,SULT4A1
53,MAOB
54,GNAL
55,ARPC1B
56,GPRC5B
57,MARK1
58,RPL7A
59,EGFR
60,LRRTM1
61,CADM2
62,ATG4B
63,RPS26
64,PIK3CB
65,NGEF
66,TRIM36
67,UQCRC2
68,UBE2M
69,CACNB4
70,EIF1AX
71,LAMP2
72,SKP1
73,YWHAH
74,KRT1
75,DHX29
76,AKAP12
77,EPHA6
78,VPS16
79,HTR4
80,SLC25A12
81,PRPF4
82,DSTN
83,RALGAPA1
84,GPC4
85,PRKAR2B
86,PGRMC1
87,RGS12
88,TACC1
89,NDUFS7
90,TOP2B
91,CNP
92,DDHD1
93,PMM1
94,DPY19L1
95,SIRPA
96,SYN3
97,EPB41
98,NDRG3
99,ABCA1
100,C1QB
101,CAPN7
102,SNF8
103,CAMK1
104,MRPL1
105,STMN1
106,ACOT1
107,AK2
108,LAMA3
109,ACTR2
110,CNKSR2
111,EXOC6
112,PCDH19
113,QDPR
114,SMC1A
115,MFN2
116,NUP155
117,ARPC1A
118,MRPL49
119,HIP1R
120,PRKCSH
121,TGFBI
122,NELFCD
123,EMD
124,USP14
125,JPH1
126,EPN1
127,HK1
128,KCNB1
129,CHCHD3
130,USE1
131,IRF2BP2
132,STX1B
133,ARPP21
134,ABCB8
135,FMR1
136,RTN3
137,LMTK3
138,SPTBN2
139,PDE10A
140,HCN2
141,EHD3
142,RELN
143,CDH8
144,PACS2
145,AKR7A2
146,TPM1
147,SURF4
148,ATAT1
149,LRCH1
150,PPL
151,SPTB
152,STXBP3
153,CRYZ
154,PSPH
155,EXOC1
156,SPAG9
157,PHGDH
158,IQSEC2
159,TUBB6
160,SRP9
161,EHD2
162,NDUFB10
163,PGM2
164,MAT2A
165,TF
166,BCKDK
167,SNX27
168,SRRM2
169,GNAZ
170,MAVS
171,RNPEP
172,ENPP4
173,COA7
174,LRP8
175,LRRFIP1
176,TBC1D13
177,COMMD10
178,UQCR10
179,ROBO1
180,NME3
181,AKR1A1
182,DNAJA2
183,FAM50A
184,HSP90B1
185,NTMT1
186,TRAPPC5
187,PRPSAP1
188,ZFYVE21
189,PFN2
190,ALDH9A1
191,DPYSL2
192,A2M
193,CNST
194,SRPK2
195,NOLC1
196,RIMS3
197,CROCC
198,TCF25
199,SFN
200,GPR151
201,RAB3D
202,RPS27A
203,ARHGEF16
204,RAP1GAP
205,ARIH1
206,LMNB2
207,MPP1
208,MTR
209,APEH
210,ELAC2
211,BPGM
212,S100A10
213,TSC2
214,PAM
215,SYT6
216,ABHD14B
217,NTNG2
218,PLEKHO2
219,XRCC5
