Gene2,AAK1,ABI1,ABI2,ACTB,ACTG1,ADD1,ADD2,ADD3,AGRN,AMPH,ANK2,ANXA1,AP3D1,ATP1A1,ATP2B1,ATP2B2,ATP6V0D1,ATP6V1B1,C1QBP,CACNG3,CAMK2B,CANX,CAP2,CDC42,CDH10,CDH2,CNTN2,CNTNAP1,CORO1A,CSPG5,CTBP1,CTNNB1,CTNND2,DBNL,DLG3,DLGAP1,DLGAP2,DNM2,DNM3,DPYSL3,DYNLL2,EPHA4,ERC2,EXOC3,EXOC4,GABBR1,GABBR2,GABRA4,GAP43,GOT1,GRIA4,GRIN2A,GRIN2B,GRM3,GRM5,GSK3B,HRAS,HSPA8,HTT,INA,KCNA1,KCNA2,KCNMA1,KCTD12,KCTD16,LIN7A,LRRC7,MAP1B,MAP2,MAPT,MINK1,MPP2,NAPA,NLGN2,NRGN,NRXN1,NRXN2,NSF,NTRK2,OLFM1,PACSIN1,PALM,PCLO,PDE2A,PEBP1,PFN1,PFN2,PICALM,PKP4,PLCB1,PPFIA1,PPFIA2,PPP2R1A,PPP3CA,PPP3CC,PRKACA,PRKAR1A,PRKAR2B,PSD3,PURA,RAB10,RAB18,RAB21,RAB35,RAB3C,RAB3D,RAB5A,RAB5C,RAB8B,RABAC1,RAPGEF4,RHOA,RIMBP2,RIMS1,RIMS2,RPH3A,RPS18,RTN3,RTN4,SCN2A,SLC18A2,SLC1A2,SLC32A1,SLC6A17,SNCA,SPTBN1,SPTBN2,STX1B,STX4,STX6,STX7,STXBP1,STXBP3,STXBP5,SV2A,SV2B,SYN1,SYNGR2,SYNGR3,SYNJ1,SYNJ2,SYP,SYT1,SYT12,SYT2,SYT7,TNR,TUBA1A,VAMP2,VCP,VDAC1,VPS45,VTI1A,WASF1,WDR7,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,mean,group
PRKCG,4.960533773999996,3.9331866775999993,4.550993440000001,4.681600424000002,4.426688623,4.026892869,5.257563629000001,4.732529498999998,4.207995597999998,4.023813713799998,5.411615831299996,4.9269010313,4.116663740799999,4.539032314199999,4.8955615841499975,4.524279697999998,4.7683480754000005,3.7338388841000003,4.0098996304000005,4.850842248999999,3.8005986069,5.304235013399998,3.6019860777999986,4.699371329999999,4.8851843403,4.4960225366,4.4080727462,4.219632711299999,3.998698181500002,5.068652123999999,3.7801468671999983,5.847922584,4.5088194034,4.119878620999998,4.4711324463,4.5651855042000005,4.321043765300002,4.657152369100001,5.259051511699999,4.5583921798,5.075071953199998,3.7404397513999994,4.662308548199999,3.7113285514,4.711480247500001,3.1095902291999984,4.750471621800001,4.4324607574,4.4625210201,4.172837297499999,4.2078769227,4.5038582074,4.925723220799998,4.5994854622000005,4.898078366,4.4971221789,4.424369935399998,4.7869354442,5.3467488464,5.065084857699998,4.624470355399999,4.2800307801000015,4.9163949939999965,4.8350091149,3.0666539669,4.3768712799000005,4.857957831999999,5.253762374400002,5.0907111229999975,5.4032306340000025,4.2386125837,3.5507318713999982,4.859227729999999,4.017357033299999,4.109177493800002,5.253439982199999,4.5578674668999986,4.728957718166665,4.840985358199998,4.187535035500002,4.407939968100001,4.284996062366666,5.4030318808,2.9278126961,4.594321944700001,4.2781315944,4.007248528999998,3.8102791417,4.909245916000001,4.2753438691999985,4.6120135778,3.8867288024,3.8690026686,4.577406602999999,4.259925284000001,3.8911494760000007,4.255761607566668,4.880199093599999,4.5757300001,4.056637621600001,4.2463595413,3.937466808599998,4.0822532954,4.155462467999999,4.824046956599999,4.911415340999998,4.381599006899998,4.3757320277,4.3400858734000005,4.2349344436,4.067807915799999,4.578368511199999,4.3056821849,4.6030193994,4.556222754600001,4.657286947599999,4.318079841,4.941878620399998,4.261044233999999,3.9690635528999985,3.9092091303000007,4.8778972419,4.015928637399997,4.4814316102,4.741674788999998,5.1011308174000005,4.7293048440000005,4.068885842099999,4.0679174587,4.847681048200001,3.699439393099999,4.484301125999997,3.9445330135999983,4.154579766999999,4.358288542000001,4.528379894,3.5331252316999984,4.173359827999998,4.906838951999998,4.3987596133999975,3.7496415708,4.455572240399999,4.816876452500002,4.2752739303,4.656839923999999,4.501740316599999,4.922121138600002,4.621186846399997,4.579599804799999,4.658707225999999,3.9613290895,4.097154002,4.448198904399999,3.7321929919999985,5.104527079,5.103500616000002,4.7126850222000005,4.522789907400002,4.228727759999999,3.9756477397999994,4.449627710982812,1
EEF2,4.198190914699999,5.2162401959999976,5.444348931,5.772213390300001,4.2962805423,5.134886004299999,4.769847134799999,4.524109333,3.9042030142000015,5.4283595243999985,5.313243476999999,5.030036638100001,4.7614680844000015,4.6823814712999985,3.7313714023000015,4.508335742300002,5.250846812200001,5.475424176999999,5.226666294699999,5.920076780999997,4.690793337999999,5.497789372400002,5.285781871399998,4.490726798999999,5.209824511499996,5.367125158400003,5.111416675999999,5.2631586626999995,4.441437103399999,5.156542727,4.683609530400002,6.466531611999999,4.7412683530000015,4.983632270800002,3.9084454205000014,3.5891642024999983,4.088481573,4.7348338917,3.7663729023,4.8967625417,6.0154182168000006,5.216623882999999,4.483840355400001,4.0970179804,4.283871067400002,4.5361346182999975,4.4040003140999975,5.250071692999999,4.6071847704000035,5.149447627400001,3.845083332199997,5.185338424699999,4.5919789194,5.100269987699999,5.253846550399999,5.067584065399999,4.920293780400001,5.334274017299999,5.242372087999999,5.8373178998,5.762470682999997,4.992754962799998,4.102653622199998,5.952719385800003,3.2770972023999985,5.193789026700001,5.160010340999998,5.1292070333999975,5.503902822,5.934029857000004,5.3954592216999995,4.497570237300001,5.064663915400001,5.0275493977,4.915143755700001,4.8477224407,4.697530975200003,5.0032657339,4.8085616967,4.869434943400002,5.919195814400001,5.386302879399998,5.597480800800001,4.7329384556,5.544530261300002,5.3243780495,4.9654310294,5.383324758999997,5.0650071943000015,5.722037189400001,5.1427519454000015,4.1316448206,4.827640409,4.805473875733332,4.874391913999999,5.412760681000002,5.104588484999999,5.697511094999998,4.9241117632999964,5.369388129000003,5.128340614999998,4.623816042399998,4.880009941000001,4.802746396400001,5.501905383400001,5.621678515799997,4.865428071000001,5.388194960999999,4.998513764400001,5.104934343800001,4.887139713099997,5.794512939,5.124896037999998,4.6829298705,4.6569280619,4.849090919399999,5.336620593700001,5.617947487399997,5.073726907999999,4.4237464488,5.202776481699999,5.434962842999998,4.792007896,5.430423639000001,5.147966937,5.1833573269999995,4.264356343999999,5.359013870000001,5.037653367999997,5.2711094339999995,4.471485086999997,5.600840462399999,5.140624968000001,4.153701718900002,4.6758063860000005,4.501469270099999,4.804881804399999,4.700653636999999,5.265536451999999,4.2516234914,4.433861110299999,5.1550218872,5.357983841,4.8272851584000005,5.630124595999996,4.242753515199999,5.18279008,4.078100837999998,5.267372894333332,3.6505766182,4.4652318302,4.624096941,4.861256451699997,4.795647991999999,4.7466835636,5.278461809100001,5.309248564999999,5.643336491666669,5.647064058,4.526399548999999,4.970170506252709,1
STX1A,4.267249352399999,4.8318903373,4.728147515400001,4.594357660399997,4.5847802477999995,4.370232305999998,3.9901373861999985,4.067345861600001,4.2197642444,4.283531541399999,4.999941463,4.858947810399999,4.0346369478999975,4.6228988154,5.109615914999999,4.676430386700001,4.3883910672000015,3.838519766399999,4.540580470400001,4.0472514256,4.312031807999999,4.531591911099999,4.0787146513999994,4.378114646700002,4.4583071092,4.3909832192,3.9797311205999977,4.463547526399999,4.5059409064,4.266916569999999,3.7260510104000013,6.083483338999997,3.5716047136000015,5.1173368560000005,4.9665636057,4.4165631578,3.893397561000001,4.097767895399998,4.4270991444,4.497599750000001,3.9449715732000006,4.369763360000001,3.3107062659999986,3.1882755125999998,4.495762486599998,4.044907967300001,4.752373392399997,3.9285440713999993,4.0738112589,3.8439682575999994,4.1568043531,5.097575824399999,4.8771046584,4.682152405899999,5.141531858300001,4.769537822499999,3.8587820907,4.6758048087000015,5.0574280704,3.9385020403000017,3.9648619047999993,4.3179082918,4.563185151999997,4.061981294799998,3.1113875929999977,4.719687352999997,4.170899811099998,4.1088142507999965,4.9540845293999975,6.2165936002999995,4.205788782,4.7072104632,4.306581460800001,4.205640354100002,3.9808815654000003,6.545231812999999,3.8897583241999993,4.743072976999998,4.3514316907999975,4.152584373600002,4.130290836900001,4.800367632,4.979519777099999,4.418699249100001,4.816976969399998,3.9737033064,4.080638962,4.708574482,4.166677879999998,4.756465220000001,4.3206404784000005,5.004156878099999,4.0615332237,4.651719525299999,4.331984936699998,4.181807060400001,4.2532199980000005,3.8133555608000016,4.781363593399999,4.314195965799997,4.426658205599999,4.272476071099998,4.858912210200001,4.180982346599999,4.665294218799999,4.318092634499998,4.056990583400002,4.2692744860000005,3.8875402410000004,3.902908745799999,3.6311065544,4.2413889898,4.725452170999999,4.336552490099999,4.1634633426999965,4.3561265007999985,4.578103334700001,4.485915776399998,4.363616213999999,4.211918243500001,3.727743244599999,4.997404517699998,3.731303171199999,3.5944121831,4.451551325000001,4.716316875,4.316723321,8.859414713000001,8.243100773000007,3.6287367563,4.714715765799999,4.2892411272,4.088412185400002,4.588926009100001,3.9119975558999993,4.6578048997,4.618365303,4.3247701235000005,4.278472724799998,4.592134285099999,4.359747348849999,4.497211331300002,5.019831160299999,3.7396324103999983,4.1222614812,4.2159585066000025,4.2433470195,4.591419454299999,4.8293463661999985,5.348787930000001,4.846309628099998,4.093959966799998,5.096332005899999,4.317600474699998,4.5907799945999965,4.4921105194000015,4.3047636681,4.402364167199998,4.540487184,5.098313156999997,4.451654163854687,1
SNAP91,3.655946065699997,3.398372102499999,3.1716905562999984,2.3520716823,3.1186259287,3.2514045844999986,3.2936578341999985,3.1932561291000003,3.4320360070999976,2.680540737699999,3.243251592199998,2.243370220400001,2.9246494905,2.642590725099999,3.3726719369999985,3.554260691199997,2.152515319600001,3.3374633972999983,3.4291347672999986,2.2522304241000004,3.249855017599998,3.321486728899998,2.4376471899000003,3.0610994495,3.1741841364999988,2.8827386882999986,3.488132274999998,3.4068067789999987,3.0981606034999984,2.6239022423000007,3.2605013585999982,3.3786616694999987,3.5316187509999977,3.142972306199998,3.486514987699997,3.555553084899997,3.348861808099999,3.5868961884999973,3.5681397083999973,3.208635136299999,2.5321031686000004,3.2845864143999983,3.5895603002999974,3.7044847561999967,2.627987880500001,2.9761750956999986,3.226951934299997,4.012698559299997,2.5774033911000003,2.5846351684,3.784169365399996,2.9696364192999987,2.8830647489999985,2.600346715199999,3.0784630908999984,3.0739050934999987,3.576586781499998,3.0734745461999995,3.305393453099999,2.6025168918,2.6805193485000007,3.687753057099996,3.6165531939999975,2.5773877247000003,3.763513602999997,2.933272947999998,3.293145393899999,3.0928061132000004,3.2756183238999967,3.6192282321999976,3.5834621191999982,3.3990259595999976,3.1313168463999985,3.1135813119000004,3.0214298644999986,3.4877386896999973,3.823202139199996,2.6903933878000004,2.8371683905999983,3.319762877299998,3.0858027268999986,3.2460191661,4.073758835999999,3.6200311098999975,2.5301143721000003,2.0962524795000013,3.405091208999998,4.315819762299996,3.3331315844999985,3.643507053699997,2.8329632082,3.613502570199997,3.120790061299999,3.5133712652999987,3.388454685699997,3.035626623899998,2.4037417989,2.1963996974,2.6417469711000012,2.4620031465000007,2.9969141276999998,3.542142840199998,3.829995495999999,2.3747962288999998,3.3729525841999983,2.2699361007000003,3.0510608111999997,2.1579325378000003,2.3115778769000004,2.8245991620000006,3.3000740702999973,2.0855231444,3.0770222365999977,3.534802216099998,3.4604159016999985,3.2222757636999995,2.1815789234,2.201570465600001,2.3788755384000013,3.3054837619999984,2.8009575364000003,3.437494651399999,2.435266367300001,2.582714386600001,3.4567309374,3.384287459699998,3.6219864471999976,2.9826198358000005,3.1157410708999986,2.3678856076,3.2168502527999983,2.7053164717000007,2.547121864100001,3.1147456152999995,2.5777097346,3.394305375199998,2.8472663546999986,3.3433667065999977,3.2167806678999984,3.152841755599997,3.377774318199998,3.231686409299998,2.854867251199998,3.2701506963999987,2.6603910445000007,3.2513083698999985,2.7503626641999994,3.2209468784999986,2.873672029400001,3.3345388081999983,2.9362571877,3.403726909199998,3.4247868136999977,3.299757167199998,2.6432687345,2.9562899139999996,2.514941706600002,2.4441194904999994,2.813717683,3.2097917016999977,3.083344591218124,1
CADPS,4.010336644899998,4.2780022918,4.124782104799999,4.5508641843,4.1399394639999985,3.480051467799998,4.118756594199998,4.547034039999999,4.833464982699999,4.3880657580000015,5.2698691354000005,4.4449015749999985,4.4347655684,4.488381532400001,5.389833837399997,3.8545483998,4.8591291831,4.248149069399998,4.286801758399999,4.401134485200001,4.841377854799999,4.4713648813999995,4.372635136899999,4.3066739147999975,4.057040529400001,4.535087677599998,4.9094722813999985,3.4443556253999983,4.5513646206,5.1257314616999965,4.801895165,5.425421198999996,4.941170454699999,4.2821379431,5.069408356300001,4.297477912200001,3.6565434944,3.9789864884999986,4.5585214506,3.668656314399999,4.108673206800002,4.827285383,4.142292305499997,3.8613802863999998,3.8327386108,3.960810418799998,3.8450041493,4.939229036999998,3.997484481000002,4.2347492340000015,4.144941085699998,4.3827259746000005,4.413125940699998,4.271227856799997,4.044939520499998,4.1334586708000005,4.4809233531000014,4.209992544,4.2482873841999975,4.088594934800001,4.3614147335999975,4.491421199399999,4.825825756699998,3.6582174803999985,3.574024666,4.210146813799998,3.2440472278000003,5.370407120999997,4.689360926999998,5.906340379999998,4.0940306142,4.678187756399999,4.594135494399999,4.124036000499999,4.092036362399998,6.9660326184000025,3.8465550961,3.6811271213,4.1129144244,4.477026425399999,5.010785571599998,4.050245815600002,5.129767700399998,4.1222223831,4.091228329800002,3.9306574272,4.6586419748,3.6111137999999983,4.752430183999999,4.477584201399998,3.966457082999999,4.448728978600001,4.5323780411999985,4.360324497999998,4.232610225299998,4.278114702600002,4.6095160117999985,3.6118847740999986,3.654738974199997,3.4748486884,3.945434486099999,4.2929789008,3.9096201277000007,4.614158832499997,4.4246050445,3.894112198,4.574121032399997,4.737692781500001,4.605689741,4.837400430200001,3.4391516762999994,4.827748959499998,3.4467744027999987,3.6311647114,4.137120517,4.396391218999999,4.9700007747,4.777022288799999,3.282959252399998,4.2509911041000015,3.8603367078000015,4.5761762763999965,3.7870700620999993,4.035772233800002,4.4120929588000015,5.024917695000003,3.5887217053,3.6872870638000017,4.400387431099999,3.6594148590999986,4.337643032999998,3.4822436359999998,3.990416773700001,4.4227762504,4.247665572499999,4.5084870306000004,4.594540542799999,4.380213163399999,4.515423151399999,3.966353106,4.720409443199999,4.828519856999999,4.0103732828,4.464552115,4.127132470800002,4.406768749799998,4.0051465176,4.1251098120000025,4.406259755199998,4.5436346538,4.152162942100002,4.158487423,3.7435317118,4.818385015,4.242191377000002,4.652456299399999,3.8363874364,4.128433925,3.7014983855000008,4.461121421299998,4.310120044554375,1
ERC1,5.088754643,4.977666411,4.982674946699999,4.6256974475,4.8243771837999985,4.529314241599998,4.7043230760000005,4.6822861298000005,5.524963628400002,5.294774169000001,5.877429474999998,4.743014599399997,5.148067301999999,5.4236642966999975,5.0824385877,4.929226416099999,4.881654839799997,4.759243255299998,5.127717719699999,5.751886334,4.4802501783,3.8889860524,4.5567114947,4.7734818296,5.461022269999996,5.188077020599999,4.9755088144,5.045720811399999,4.9160580450000015,4.8692198699999985,4.8440213324000005,5.823870038,4.8705718207999995,4.754578655399998,5.650658830999999,4.5506429286999985,4.832524437699999,4.8360186062000015,4.3527844124,5.366086633999998,4.9781115953,5.543729868000001,5.000922996999999,5.187437152699997,4.8577525463,4.738216854200001,5.349118616999999,5.021404426700001,4.6636766173999975,4.9324349737,4.047398844799998,4.3646437765,4.8304745983,4.468348250999997,4.742435631000001,4.712065440699997,3.7736824631,4.888665948400002,5.582164231699995,4.830455009299999,4.625885306999998,5.0222965094,5.438264660699997,5.015235532399999,5.1735352437999955,4.9125998630000005,4.625297107,6.062036085000001,5.914611491000002,5.197557779000001,5.4563189037000015,4.387977947,4.278190279,4.985015484000001,4.9447352123,5.0258793554000025,4.78299786,4.333364757200002,4.760757438999999,4.7702521136666665,4.836149128,5.0974289724,5.358284903599998,4.774574903200001,4.283276215600001,4.577379705299999,4.680785553,4.6732195379000006,5.3724084208,5.069194286000001,4.829391874399999,5.030883254999998,4.591562560099998,5.2777899674,5.422123652000001,4.852251322400001,4.917668315599999,4.794380042499999,4.711099631299998,5.4398424814,4.976348466,4.8971228594,5.332479858399999,4.9062060584,4.931778403399997,4.8197606760000005,4.871790761699999,4.919140224699999,4.589150385099999,5.207679518499999,4.933659647999999,4.521064543100001,5.1188570619999965,5.227378702199999,4.7935235368,4.6008427024000005,4.3309029162,4.5993925831999976,5.0902395197,4.965029719199998,4.9854480701999995,4.104353323800002,5.158756529999997,4.9480876995,4.439596084999998,6.766647307,5.256138532999999,5.397494073299995,5.086580609299999,5.454357478,4.874669013799998,4.684073418999999,5.153005161399998,5.178312457,5.081059480399998,5.140315759199998,4.997750974999998,4.659793839999997,4.6068864817,4.887760357000001,4.319432704100002,4.9066403229,5.046659681500001,4.784236230199998,4.988406252200001,4.675053510299998,4.844827942099998,4.6507800253,4.7674481846,5.531722508,4.828398446399998,4.452848908799998,4.494159723599999,5.3460682492999965,5.0342411386000006,5.001479519299998,5.022071176999996,5.062145021999999,5.104895961299999,4.870449129999998,4.937731323259792,1
NLGN1,4.223216975400001,3.8852397738,4.8120185634,4.1135073551999985,4.0311636981,5.201459695399999,4.3051158699,4.187663829799998,5.5941803463,4.923207570399998,5.6122000970000006,3.4398616400999997,3.9531489656999983,4.606743694,5.099508903,4.1981233214,4.609237995599998,3.8098859667000013,4.7243166558,5.144896450999999,4.2317085917,5.0726948927999995,4.149371598199998,5.031064822699999,4.619573313500001,4.130527040199999,4.0520475637,4.6830493352,5.369530742400001,4.746756323999999,3.8126306136000014,6.087658453,4.131535690300002,5.0841097484,4.549314533999999,4.190715182199997,4.503618260099998,4.828026106000001,4.6856695134,4.4520480444000015,4.7912086887999985,5.266705619199999,3.8352998554,4.448442837699999,3.8833085117999984,4.859295032999999,3.5582249989999983,4.072571863699999,4.972516029499998,4.5011516759,4.371760390099999,4.934858045599999,5.5490978914000015,3.966666476599997,4.779701030199999,4.269923711399999,3.9941624352,5.1776307315,5.3199828564,5.108772351299996,4.1631335401,3.889991023799997,5.040599993999999,4.262996213899998,2.4786454312999995,4.667112027399998,4.061069766000001,5.115639016599999,4.2869147224,5.401523935599999,4.5515784771000005,5.1387678717,4.752991282299999,7.569873522099996,4.661900780999999,6.327764968,4.485940476599998,4.440194414299999,5.067197098,3.8905940707999993,4.5428206775,5.1781751214,5.1919315142,4.735373572099999,4.036459038299999,4.551480557,4.7573532605,5.005282214999999,5.519903204399999,4.8354548714,4.557351634999998,4.194541065100002,4.163217717099998,4.3298915935999975,3.5846859357999983,4.439977560599999,4.378531206799998,4.367781836700002,4.381263175799998,5.3149525133,4.769074165799999,3.6845403575,4.919990437199998,4.984235777099999,4.645701172899999,4.4806709825999995,5.1334506952000005,4.955456203599997,5.002143516099999,5.241007050600001,3.7018995033,4.737298887399998,4.2987466043,4.7853293381,3.8175043347999975,5.043804068399999,4.490863465799997,4.203152220199999,4.437932665999998,4.202680331700002,4.9862499712,5.623097816999998,5.884740531099997,5.268781315999997,3.9058589059,5.3963693114000035,4.967709026999997,4.214910589599999,4.5450312531,5.079978270699999,4.104393271800001,5.316987117400001,5.0202566379999976,4.789676203400002,5.258904772999999,4.434616512199996,4.1685429648999985,4.3588864524,4.672005433099998,4.158090203399999,4.0750547927000005,4.864298944399998,4.8698385392,4.094809225099999,5.0567312514,4.541051123599998,4.544965786199999,4.346312995299998,4.972904603800001,4.6734175547,4.2554375726,4.011544886799999,4.818505490799999,4.466599432999997,4.056906526600001,4.7019831110000005,3.9172949934999983,4.416916039500001,4.398174809299999,4.0148723374,4.61035421271375,1
BCAN,4.879683191099998,5.010355431699999,5.3829797159999995,4.6595205456999995,5.649656812000001,4.776543521999999,4.916987247000002,5.0533835508,4.177248939300001,5.0135035953,5.6866434787000015,5.467333992399997,5.790595441399997,5.039148076999998,4.043548348299999,4.351948961000001,4.476003825399999,3.7350036033999987,4.048914451299998,4.7096085549,5.1636200926999996,5.123536891999997,3.7038268742999993,4.090978491400001,4.025094912299998,4.247629429700002,5.916177586999997,3.9522569939,4.041958772699998,4.7562176258000015,3.9910615773,6.255337195499999,4.1374156395,5.1417607782,4.168290433400002,3.9951574154,4.669950718999999,4.506843675399999,5.247152015099999,5.3431522957,4.5167369321,3.9918979273999993,4.565941347099999,4.172287576399998,4.624054302099999,4.970791329999998,4.8832375459999975,4.707287073300001,4.325375385700002,4.0561612146,4.9074652596999995,4.865009157300001,5.164225648399998,5.187965152899998,4.620414606799998,5.300819579800001,4.287115974400002,5.0808764024,5.156918805,4.6884456543000015,3.9659608574,3.6893674443999993,4.314053925999999,5.0288901377,3.935222563599999,4.0790273838000015,4.560704420266663,5.482385684399998,5.694326157999999,5.471840263000002,4.889441356999999,4.568673449999999,4.549615275399999,4.102284627600001,3.6433064753999993,6.124696350699999,4.0829636494,5.212780782999995,5.288821330999999,3.5571631928000005,3.8945939976999986,4.186881728999998,4.592047919399998,4.123278347999999,5.347379423199999,4.940184529100001,4.852519524099998,5.6224712289999985,5.045031934,4.672280989199997,4.230311812100002,4.5822291895,4.014388842700002,4.839705200399999,4.442071336199998,4.352544354099998,5.155587656999999,4.426520050800001,5.1789535884,4.6374577156,4.4166947784,3.4183362462000004,4.0509383409,4.524744815299998,5.1576223469999976,4.478781293400003,4.821893612899999,4.557386713500001,4.763334201599999,4.66294434,4.606133563399999,4.8547232099,4.5642866968,4.961737094399998,4.862113307700001,5.674207669599997,4.582074317300001,5.285589745399999,4.5007849635,3.7880494912000016,4.276183747200001,6.110331539999999,4.3690382127,4.5772225357,3.980557530499999,4.868733001399998,4.447699939099999,3.7953308613999988,4.6866044999000005,4.814267307299999,3.8305195583999994,4.969238989000001,4.3258046882,4.769472331999999,4.656179617699999,4.340344817,4.8209625774000004,3.8462963405,4.015994034199999,4.308983876500002,4.3174215669999985,3.8771731250999983,4.816946215599999,4.467572321799999,4.608818121600001,4.042715001999999,5.366463520099999,5.341394766799998,4.163291730899998,4.774668428699999,5.480897269499995,3.9714899525,4.963935722400002,3.7682761168000014,5.625788813400002,4.209664985799998,5.4010307809999984,4.2399819605,4.772211609600001,5.2064253194,4.653470827262916,1
RAB15,4.126189376999998,4.4555322222,4.555095552900001,3.3898537267999984,4.341289618999999,4.5846185974,3.4931101563000015,3.8369937628,4.086771035399998,3.5779493082999987,5.262446646,4.098465832099999,3.7484990887999983,4.8588621497999975,5.139823641,4.812490678399999,3.3373166534999985,3.70249,3.0612514358999987,3.918670014,4.543372497399999,4.3204310023999986,3.4975848263999985,8.249954002,3.375604227499999,3.588957654500001,3.984143009800001,3.4417702518000013,4.3755402967000006,2.7140731195999996,3.339341936499998,6.409361136000003,3.1717549317,4.6785855701,4.136462414099999,2.9923475054000006,3.6099040163,5.544188742999999,4.522158248999999,4.2334264654,3.6592852713000017,4.248133135000002,3.6683073305999994,3.4342029704000003,3.3391607689,3.8325981357999983,3.722023106300001,4.070314260199998,3.64637143,3.4914592274,3.6923047756,4.268256072800002,4.732267524399999,3.9092873967999973,4.3477084657999985,3.9685913193999993,7.735637765999996,4.763602220699998,5.026839173799999,3.693684217499998,3.5120154493999984,4.261181933400001,4.883941670399999,3.6745189905,3.5769966517999983,3.4979401298000004,4.2077907884000005,4.458913324999998,4.9215740328,6.104885759999998,4.3987984626,4.135639689699998,3.8176930738,4.050998364299998,3.264471112599998,5.700749887000001,3.4402265398000003,4.3330368048,4.591271608799999,3.9459596159,3.7686850454999985,4.605336077999999,4.306758337400002,4.229527056,4.1681944974,3.1736431102999996,3.969443548300001,4.599973394399999,4.232936171699999,5.449504870999999,4.227546297999998,3.9240024245999985,3.5242505347000006,4.0924016118000015,3.2425825446999994,3.5029127087,4.2997255810000015,3.7301547840000007,3.844290537799999,3.2258896577999985,8.728234514000004,8.80945142200001,8.725251692000006,8.822816201000006,8.677642365,8.323955887,8.314720441,8.347572172000003,8.368015116000004,3.8397924127999983,4.903279400699999,8.350239571000005,3.4696607396000005,4.604795253,4.068264876799998,4.0401714612,3.6961444912,3.4607639700999995,4.013839709399999,4.4453489401000015,3.4926484812,4.575685433199999,3.2182164619999987,3.2879076079000003,3.888196227,5.158438956099998,4.903994968399998,3.2347561780999987,3.6450187537000014,3.2879866179999984,3.3944215579999995,4.0009867360000015,2.9069106298999983,4.312874197600002,2.989409841999999,3.7266095553999983,3.812969682899999,4.134619436199999,3.4314951768,3.951876933799999,4.1195960753000005,4.2598344238,4.5221403019,3.8694899709999984,2.7885070251999995,4.089789306999998,3.8017008118,3.5685767638,3.3926368094,5.4175266130000015,3.7324201882000017,3.3891677655000008,3.8826763102000017,3.2879527051999986,3.6481508199999992,3.9941814217999982,3.763850120433332,3.7991956211000013,3.6885477041999986,4.6535992364,4.339360016694583,1
CTNNA2,3.4195527934000007,4.033224670799998,3.8533691113,4.488745140399999,3.8601651429999975,3.787942105399999,4.1404982099000005,4.458950027499999,4.659686798399997,5.1479627532000025,5.686534476,4.2335996554,4.1142915587000015,5.197537637000003,5.4648332317999975,4.3778641741,4.485428357999998,4.300058774299998,4.2309446415,4.570287585399998,3.9839589311,4.3376300628,3.9918747548,4.058737770699999,4.556525510999999,4.0108211411,4.696898742999999,4.2354639597000014,5.0167287275,4.348403632099998,3.901861137499999,6.2281082979999995,4.543432823199998,3.427836276199998,5.456764498999998,4.682537877800001,4.200021960799998,4.495593056099999,4.9795404701,4.168810003699998,4.7509320909999975,4.528437437800001,5.100386484699998,3.900062783799997,4.177562589799998,4.3622726451999965,5.2126759621,4.647749420299999,4.685294183999999,4.5209086486,4.069686909,4.7362590421999995,4.7913392158,4.439717266599998,4.631607529200002,4.434593967300002,3.9136931116999985,3.812223044800001,4.687422346799999,5.007903510999999,5.144523488899999,3.830044351099997,5.044661955699997,4.727926943099998,4.298402304899997,4.136363952099996,4.008447071999998,6.496739482799999,5.8135172913999975,6.708477606999997,4.076155062399998,4.558832683599999,3.9082144524000006,4.1366900407,4.536832457599998,6.2067234460000025,4.217540556599999,4.8024159872,5.127913833799998,3.0142040523,4.595827784799999,4.051026177199999,6.016225593399997,4.5114092644,4.8726387420999995,4.550053813199999,3.7881092669,2.9554004709999986,4.814234782699997,5.600505545999996,3.4894719524000006,4.310974757499999,3.3918416618999987,3.9744916702000017,3.8333014319999985,4.129866509199998,4.3911433406999985,4.912228031999998,4.239299398,4.845968243999999,4.246200363,3.6852554978999983,4.282034705099998,4.3140465608,4.561874413699997,4.196018892999998,4.5110910170999965,4.7936975121,4.3586357609,4.757475708999998,4.237573857600002,4.518649075399998,3.3319918149999976,4.838237362699998,4.200601160199998,4.107808964399998,5.139643602999999,4.779488596599999,5.110095820399998,4.8087090780000015,4.0857890732,5.108377874799998,5.4974255839999975,4.673582698499998,3.6434620091999994,5.974858018999998,4.832727562400001,3.6656217100000013,3.9860597757,4.227719031799999,4.093910893599998,4.1681559894000015,4.1846968681,4.431143031999998,4.581733172999999,4.5835446412000005,4.450059128800001,3.793244988499998,4.303290361399998,4.658523314399998,4.264767458099999,4.1288838431,4.412889635099999,4.8940229617999975,4.650468718399999,4.0882247714,4.5893630210000005,3.6921541361999983,3.8492976639999994,5.406750978400002,4.1636344130000005,3.1647175361999995,3.9047054081,4.0707788401,4.460061228400001,4.439908716000001,4.664354899999998,4.159777641799998,4.298806289399999,3.8091398140000017,4.457176022524999,1
