,genes
0,OCIAD1
1,UBC
2,ANXA2
3,PRRC2C
4,UBR4
5,MATR3
6,PPP1R1A
7,SYN3
8,ARHGAP32
9,ATP8A2
10,NCAM1
11,FRMD4A
12,RAB5A
13,SLC12A5
14,MAP4K4
15,HSD17B4
16,TP53BP1
17,GPHN
18,KALRN
19,RELA
20,AP3B2
21,HSP90AA1
22,CSRP1
23,GLIPR2
24,AGO1
25,CPNE4
26,APP
27,STAU2
28,KIF1B
29,UBAP2L
30,CEND1
31,OMG
32,TANC2
33,MARK2
34,LMNA
35,KRAS
36,UBL4A
37,KRT17
38,NAV3
39,TLN1
40,CAMSAP1
41,AGK
42,TPM4
43,PRKDC
44,CLASP2
45,EFHD1
46,DGKB
47,ABCF1
48,AKR1B1
49,RAP1B
50,MRPS2
51,SIRT2
52,NUP93
53,SORBS2
54,NDUFB10
55,USP24
56,PPP1CA
57,SIPA1L1
58,TAGLN3
59,RPS13
60,MYO18A
61,TIMM10
62,LAMTOR1
63,CSNK2A1
64,MAP7D1
65,CCT7
66,TSC1
67,PKP4
68,ANKFY1
69,ATP2B1
70,PHGDH
71,CACNB2
72,MICAL3
73,DTNA
74,HSPB1
75,SEC16A
76,RIMS2
77,FAT3
78,CPNE6
79,KIDINS220
80,EPB41L1
81,MYH14
82,ACTBL2
83,PLP1
84,AGO2
85,MYL6
86,TSC2
87,DDX39B
88,LIMA1
89,WDR1
90,WNK1
91,MYH9
92,SLC4A7
93,YWHAB
94,STIP1
95,REPS1
96,GRIN2B
97,ATXN2
98,ATP1B2
99,SMG1
100,GART
101,SORBS1
102,TENM4
103,PSD3
104,ATXN2L
105,PFKL
106,EPN2
107,EPB41L2
108,TMPO
109,FXR2
110,NEFM
111,RDX
112,GNAO1
113,ITPR1
114,MCM4
115,NEGR1
116,ARHGEF7
117,PRKACB
118,TJP1
119,NAPA
120,PC
121,SPAG9
122,EEF1D
123,CLTA
124,GPS1
125,MOG
126,NRN1
127,EIF3I
128,HAP1
129,RAP1A
130,TENM3
131,CDC42
132,CNP
133,MACF1
134,PYCR2
135,ARFGAP2
136,FAM131B
137,ADRM1
138,PRPSAP2
139,TECR
140,DNM3
141,SCRIB
142,PSMD5
143,ASTN1
144,DCTN3
145,ARPC5L
146,TPM1
147,ILF3
148,PPP1R12A
149,PSMB4
150,COPS3
151,BCR
152,UBE2D3
153,HMGN2
154,GAK
155,TOP2B
156,APBA2
157,BAG6
158,PI4KA
159,PLEKHB1
160,NES
161,SGTA
162,EIF4A1
163,DLST
164,CCDC88A
165,CLTB
166,HNRNPU
167,AHCYL1
168,CIRBP
169,NDUFA2
170,UGP2
171,MAP4
172,RPLP0
173,EPHX1
174,HSPA9
175,RPL14
176,SERPINH1
177,PLEKHA5
178,CEP170
179,MYO9A
180,GAPVD1
181,HNRNPC
182,PTPRD
183,KCNAB1
184,CTNNB1
185,BSG
186,CTNNA1
187,CNDP2
188,DYNC1I2
189,RPL17
190,PRRC2A
191,DYNLL1
192,MYADM
193,DOCK7
194,VAT1
195,CS
196,DYNC1H1
197,AP2A2
198,DDX3X
199,CMPK1
200,ARHGDIA
201,TACC2
202,STRAP
203,PPP2R5C
204,MARK3
205,NDUFB8
206,ABLIM1
207,SBF2
208,SEC13
209,IGSF21
210,MAGI2
211,TJP2
212,CSNK2B
213,MYCBP2
214,ARHGAP21
215,PRKCA
216,AGAP1
217,CAMSAP2
218,FASN
219,CLIP1
220,GDI1
221,IPO5
222,ANLN
223,ALDH7A1
224,LLGL1
225,EXOC6B
226,ACTR1A
227,AP2M1
228,DPY19L1
229,DDOST
230,SLC25A31
231,CNKSR2
232,RYR2
233,PRKCE
234,STMN2
235,SLC25A6
236,RALA
237,BCAS3
238,DYRK1A
239,ACTL6B
240,DDX5
241,GIT1
242,JPH3
243,DLG2
244,THRAP3
245,AKAP12
246,TMEM11
247,SPTAN1
248,STOML2
249,FTH1
250,PSMD7
251,LARP1
252,NME1
253,NDUFB4
254,GNAI1
255,MBP
256,AFAP1
257,DMD
258,SNRNP200
259,PDE10A
260,EIF4G1
261,FLNA
262,RAI14
263,SEC23A
264,RAPH1
265,CADM2
266,RAC1
267,DLG5
268,ATP6V0D1
269,ITSN1
270,CAPZA1
271,EIF4B
272,EIF3E
273,NAP1L4
274,PSMA7
275,FARP1
276,RAB10
277,PHB2
278,APC
279,CLASP1
280,CMAS
281,NDRG1
282,ALYREF
283,ALDH5A1
284,TMEFF1
285,EPB41
286,SPEG
287,NDUFS3
288,ANKS1B
289,PARP1
290,GNB1
291,SPECC1
