,genes
0,SUPT16H
1,FTH1
2,ROBO1
3,DYNC1H1
4,PHB2
5,CAD
6,BAD
7,S100A4
8,CTNNA1
9,RPL5
10,EPB41L3
11,IRS1
12,CD9
13,KCNJ6
14,ATAT1
15,TUBB2A
16,ATP8A2
17,MAGI2
18,TUBB3
19,PCM1
20,MVB12B
21,SIGMAR1
22,CNKSR2
23,RAB11B
24,GSTM5
25,CACNA1E
26,PSEN1
27,RAB1B
28,FRMD4A
29,GABRA3
30,NEGR1
31,DSP
32,ITGB4
33,GOLPH3
34,SDK1
35,GNB1
36,ASIC2
37,LRRC4C
38,SCRN1
39,KCNAB1
40,KCTD8
41,NF1
42,DAB1
43,AGAP1
44,MIB1
45,GPC6
46,APC2
47,USH2A
48,LMNB2
49,CPEB1
50,XKR4
51,SLC25A6
52,SCRIB
53,ANXA5
54,MYH9
55,FRMPD4
56,THRAP3
57,FARP1
58,UGP2
59,MBP
60,CHRNA4
61,PARP1
62,FGB
63,NDRG4
64,ABL1
65,RASGRP2
66,CACNA1F
67,DLG4
68,RGS12
69,CPNE6
70,LARP1
71,DRD3
72,PPP1R12A
73,CA1
74,NCALD
75,COPA
76,GART
77,ARF3
78,DENND1A
79,TENM1
80,EPB41L2
81,TSC1
82,PPP1CA
83,UTRN
84,DPP10
85,NRAS
86,PAG1
87,IL1RAPL2
88,ASTN2
89,PLLP
90,STMN2
91,ITPR1
92,CALCA
93,EPHB1
94,SYT11
95,SUGT1
96,PTPRD
97,ARFGEF1
98,SNAPIN
99,CACNB2
100,CLN3
101,ANK3
102,MYO18A
103,CIT
104,UPF1
105,AKAP1
106,PLEKHB1
107,RAB8A
108,SERPINH1
109,DGKB
110,RYR1
111,MYO9A
112,NDUFS8
113,CIRBP
114,PCDH8
115,RYR3
116,GABRA6
117,PTPRT
118,KRT9
119,AP2M1
120,NDRG1
121,TPM1
122,FGF1
123,TAGLN2
124,ATCAY
125,EIF4EBP2
126,RAB31
127,HECW1
128,CUBN
129,SLC4A7
130,XPO1
131,NEB
132,PTPRZ1
133,ABCF1
134,KCND2
135,PRDX1
136,OPHN1
137,ERBB4
138,TIAM2
139,KRAS
140,DST
141,MAPK8IP1
142,UBC
143,DCTN3
144,PRUNE2
145,NRXN3
146,KRT24
147,SYBU
148,ASPM
149,TENM3
150,FGA
151,DYNC2H1
152,RET
153,SGTA
154,DPP6
155,RGS7
156,IL1RAPL1
157,MACF1
158,ARL8B
159,CDH12
160,ARF1
161,PHGDH
162,CDH16
163,RPS9
164,PLCL2
165,CELSR3
166,ALK
167,SH3GL3
168,SPTAN1
169,DIRAS1
170,CDH18
171,PRKCA
172,TUBA1B
173,TUBB
174,PLP1
175,DTNA
176,SCN1A
177,GRN
178,FLNC
179,SSRP1
180,NDRG2
181,COTL1
182,MAP4
183,EDC3
184,RAP2B
185,SLC4A10
186,CRIP2
187,CCT3
188,DVL3
189,AHNAK
190,LSM14A
191,DYNLL1
192,DIP2B
193,ATP2A3
194,DDX3X
195,TSC2
196,ZACN
197,TLN1
198,PYCR2
199,SRP14
200,RAB14
201,CASKIN1
202,PRMT1
203,NDUFB9
204,ABCC8
205,GRID2
206,CADM2
207,ANKS1B
208,TENM4
209,DCC
210,PTPRN2
211,GABRA5
212,MYADM
213,CACNA2D3
214,DVL1
215,NAV3
216,CACNA1B
217,RYR2
218,LSAMP
219,PLXNA4
220,FRYL
221,USP5
222,STOM
223,GRIA2
224,TRIO
225,PPP1R18
226,DYNC1I2
227,ARHGDIA
228,PRRC2A
229,RPS15A
230,VAMP1
231,CMPK1
232,RPLP0
233,VAMP7
234,HSPB8
235,SLC16A3
236,DLG1
237,BIRC6
238,APC
239,EPN2
240,PLCG1
241,ATP2A1
242,DMXL1
243,MATR3
244,MAPRE2
245,GRIK2
246,DCHS1
247,TECR
248,ARHGEF7
249,UBL4A
250,FLNA
251,MYL6
252,FXR2
253,SEC23A
254,PDE4B
255,PLXNA1
256,SORBS2
257,XRCC6
258,TENM2
259,EPB41
260,SBF1
261,TACC2
262,MRPS2
263,DOCK3
264,ITSN1
265,SYNJ2BP
266,SNAP23
267,KRT16
268,TANC2
269,MARK2
270,AHCYL1
271,MPDZ
272,PRKCE
273,RPS3A
274,GABRG1
275,PRPF8
276,DMD
277,ROR2
278,USP9X
279,RPL11
280,PKM
281,RPLP2
282,NDUFB10
283,STIP1
284,PIP5K1C
