,genes,avg_scores
0,RMND5B,4.049342104148582
1,TRMT1L,4.503118145474405
2,CRYBA1,4.669296059780999
3,HSD3B2,4.462362077251
4,RAB3GAP2,4.361874667708833
5,PSMD5,4.490739737693999
6,CRNN,4.931228142555083
7,RNF181,4.600559454733166
8,ARL13A,4.409855403313499
9,RPS11,4.626745467663333
10,ACTBL2,4.592613818964498
11,CRABP1,4.506757403205444
12,PEX5L,4.577981604808333
13,NMI,4.4981792896415
14,LAP3,4.412076214251
15,MUC12,5.050815309908555
16,TCP1,4.199968114805333
17,SNRK,4.255551955915845
18,GSTP1,4.637872595332666
19,FOXC1,4.307753750448011
20,ZACN,4.675651857783583
21,DHX33,4.542262356583076
22,KIF11,4.2712997016005
23,BRINP1,4.570689788378722
24,ECEL1,4.548662009757721
25,CPB2,4.310775591507616
26,FBXL7,4.4549677256325
27,ZNF574,4.8941618383225
28,RNF11,4.315004236514667
29,RHOC,4.589355920184201
30,STEAP4,4.196478660681952
31,KRT28,2.6672310924991667
32,SLC25A32,4.703942270963
33,PHAX,4.382567172898166
34,ENTPD1,4.207810033059499
35,ITSN2,4.520919523618944
36,BEST3,4.173963370870749
37,MST1R,3.9997572727956947
38,GMNN,4.297562883719249
39,NR1I2,4.332894753579
40,LRRC4C,4.962161082962999
41,CAND1,4.041035177272222
42,ZC3H8,4.170291024917499
43,DDX4,4.5837269939245
44,CLN5,4.459004335026537
45,CST3,4.598773870099416
46,TNS1,5.121563459829499
47,IDH3G,4.120761093080334
48,FOSL1,4.655688302120642
49,CHD1,4.845450729899465
50,BCR,4.7096042318228335
51,SRR,4.219149995595666
52,IER5,3.692087149304095
53,HMGN4,4.507863431969334
54,PANK2,3.8993864224366246
55,CXADR,4.499272372389
56,AQP4,4.654134039264666
57,NRCAM,4.550515455331357
58,TMC7,4.2613882311139015
59,WNT11,4.786715779912555
60,OSBPL2,4.688310406755285
61,RPS16,4.603182072914618
62,DNAJC11,4.263871139993666
63,DNAH8,4.825010934294499
64,SLC2A12,4.221598024552
65,CYP4F2,4.465599461327785
66,PDE8B,4.3248070876009095
67,CP,3.9528490505055
68,ZHX1,4.058626208187535
69,RXFP2,5.088254912023666
70,TCTEX1D4,4.032582298794904
71,UVRAG,4.033048467576333
72,SCRIB,4.70597563261025
73,GTSE1,4.507147393811389
74,ZNF606,4.091014756965419
75,SERPINA4,4.703521179397
76,APEX1,4.548379356251832
77,ZNF490,4.469787517199924
78,HOOK3,4.429391610995666
79,PSMC5,4.409665927270667
80,TCIRG1,4.404963743914999
81,HID1,4.366432883311083
82,PARM1,4.386607112556452
83,ASTN2,4.9168864021714995
84,SH3BP5L,4.446325614065167
85,UNC45B,4.541771039322211
86,GNB4,4.682494516083833
87,DENND5B,4.566655182936821
88,TPBG,4.435222583945166
89,SNAI1,4.299907713695595
90,ZFP2,4.483948017148333
91,MED23,4.112683436999416
92,SDCCAG8,4.002045625465299
93,CELSR1,4.7747728754936665
94,AK8,4.394362222141047
95,ZNF148,4.279123314897582
96,ZNF534,4.8994170927313885
97,ZNF592,4.386814023663249
98,THYN1,4.193815856342638
99,MNX1,4.384091934588167
100,ARAF,4.489382907885666
101,ERCC4,4.199150190862333
102,CDS1,4.497701240581834
103,TCEANC,4.101580468536869
104,GLTP,4.647667509124777
105,ZNF248,4.241944163092035
106,HIBADH,4.435296580292499
107,RGS10,4.667940513775332
108,NIT2,4.262520734580404
109,PSMB9,4.767405884148054
110,CLTB,4.682703645237416
111,SRSF4,4.511765863122833
112,TJP2,5.5404036895335
113,TASP1,4.460957902813833
114,FAM83B,4.591487593959865
115,BLVRB,4.698772313744667
116,ABCB10,4.380449328605908
117,WWP1,4.3099956816725
118,PNPT1,4.430993346883333
119,GTF3C6,4.643764291101332
120,ARPIN,4.699864946189333
121,SMG9,4.228851431958166
122,UST,4.424010655417333
123,ZNF649,4.330391483467166
124,HINFP,4.138522853167388
125,CSDE1,4.525477823726238
126,PPA2,4.359701284699
127,SRPK1,4.114939458593041
128,ZNF512,4.056752026112083
129,GALNT18,4.295205240789583
130,UBA5,4.000342449291944
131,ZCCHC9,4.110688823875095
132,TPRN,4.384780812020333
133,EIF3K,4.716929398210999
134,NUTM1,4.512599264117775
135,GCSAM,4.1920600236705
136,RRP12,4.430739925184749
137,GRB7,4.518769899644
138,MFF,4.462499460405
139,PABPC3,4.103033591771749
140,CSNK2A1,5.290715411291416
141,DNAAF1,4.217022977542083
142,EXOC6,4.418807303931
143,RCHY1,4.4498455365459995
144,COG8,4.328508646426888
145,SLC13A4,4.470042215429166
146,SERPINC1,4.4639359401205
147,BRD4,4.149239364064595
148,KDELR1,4.5582484916596115
149,ZNF497,4.316017673531583
150,LAMB1,4.345830178700428
151,RPL32,4.151729119169749
152,GRK7,4.271139791229575
153,GPR61,4.4265960356428335
154,CEACAM1,4.363409682855909
155,DGKE,4.156010679342833
156,MOCS2,4.597243583939999
157,PLIN1,4.4524022858995
158,WDR36,4.5516076221685
159,NGLY1,4.099170104096874
160,EGLN3,4.303450328549694
161,RARS2,4.474121196927666
162,GUCY2C,4.179761199829
163,TMOD4,4.415924519081166
164,CCDC124,4.9096705808503325
165,RIMKLA,4.482999713831584
166,LILRB4,4.837425018974619
167,CACHD1,4.176558305717084
168,FOXN1,4.365459629527075
169,KRTAP6-2,2.5149433069904994
170,FUBP1,4.167374032169866
171,UGT2B11,4.305456538235806
172,PPP1R16A,4.287287945517666
173,FIGNL1,4.1706245083399995
174,TXNDC17,4.1302017482224995
175,MB,4.427234347631666
176,RALYL,4.713552091285333
177,TELO2,4.243489397512953
