,genes
0,PCDHA11
1,KANSL1L
2,SKA1
3,RLIM
4,SLC25A48
5,TEK
6,STAT6
7,SNRNP48
8,SLC23A2
9,COL12A1
10,STK40
11,AKAP10
12,TRA2B
13,RPS6KL1
14,TRMT1
15,TRRAP
16,BCLAF1
17,ELF2
18,SPR
19,FBXO9
20,PPARGC1B
21,WDR3
22,ZNF517
23,BRWD1
24,BPGM
25,CDC42EP3
26,ZNF35
27,ACAT2
28,CDK6
29,TP73
30,PM20D2
31,SLC22A5
32,ZNF786
33,IRF9
34,SMCHD1
35,UBOX5
36,MTO1
37,PSMD5
38,STC2
39,FTO
40,PRPF38A
41,PARP12
42,LBH
43,CLK3
44,RPRD2
45,CDK9
46,THOC1
47,CHMP7
48,IFIT3
49,PNRC1
50,LRRC14
51,NANS
52,HOXB13
53,BTNL9
54,BCL6
55,PANK3
56,ARG2
57,MOB1B
58,CHST15
59,LGALS9
60,ISOC1
61,GPR161
62,TRIM22
63,ALOX15B
64,CRIP3
65,LRRC8D
66,GTF3C5
67,SOX17
68,PLCH1
69,OSBPL6
70,GMNN
71,USP45
72,SCARB1
73,DCK
74,TECPR1
75,RGN
76,AMIGO1
77,MCOLN1
78,NAT10
79,SH3BGRL3
80,ITPKB
81,SBDS
82,KPNA4
83,GOLPH3L
84,OAT
85,UBR1
86,TJP3
87,NFS1
88,ETNPPL
89,NOP56
90,TXLNA
91,KIF20A
92,ZNF790
93,ZNF23
94,UBE2B
95,TMEM87A
96,FAM131B
97,CDK13
98,ME2
99,ANP32B
100,SBNO1
101,OAZ3
102,ARHGEF1
103,SIGIRR
104,SMU1
105,RAVER1
106,SCN4A
107,OXSR1
108,DIAPH2
109,PDGFRB
110,ZNF621
111,MMP9
112,COPS6
113,RCC1
114,KIF12
115,MYO9B
116,MRPL38
117,PCTP
118,PIK3CG
119,EXTL2
120,TRPM7
121,KDELR3
122,CKS2
123,LHX8
124,ZBTB44
125,MPG
126,GALT
127,POLR1B
128,LYPLAL1
129,CTDSPL
130,YAF2
131,MAGI3
132,MAP3K7
133,ZNF296
134,DCAF12L2
135,SSU72
136,ERCC6L
137,BCORL1
138,FBXL12
139,RSPH3
140,ZNF436
141,PLIN3
142,PPARA
143,LCLAT1
144,MBD4
145,EIF2B1
146,RPL32
147,RGPD2
148,SETMAR
149,NSMCE4A
150,TCTN2
151,XPO4
152,PRKCH
153,INVS
154,RNF41
155,CBLB
156,EDA2R
157,TXNDC16
158,GTF2H4
159,XDH
160,MCM9
161,RAPGEF6
162,LRIG1
163,PELI1
164,ADAMTSL4
165,RLF
166,SORL1
167,ZNF404
168,COX17
169,B4GALT1
170,GTPBP1
171,FZD7
172,PRRX1
173,IGF2BP2
174,SAP25
175,SPIN2A
176,PPRC1
177,SENP3
178,YIPF4
179,PA2G4
180,RRP8
181,DSCC1
182,SPG21
183,RPL26L1
184,PITPNM2
185,SH3D19
186,TOPBP1
187,SNX11
188,CD274
189,ERBB3
190,ALB
191,EIF3F
192,LSP1
193,TC2N
194,GLRX
195,ARFGEF1
196,ZBED1
197,ZFX
198,RIPK2
199,FAM98A
200,GAS2
201,NAA15
202,SRFBP1
203,ZNF383
204,CRYZL1
205,TRIB3
206,DERL1
207,TOM1
208,DHX15
209,SUPT3H
210,NOD1
211,SLC39A10
212,ASRGL1
213,ADAP1
214,CD99
215,FZD6
216,PHAX
217,SMARCA5
218,ALPK1
219,RNGTT
220,DHX33
221,MEF2D
222,KLF16
223,METAP2
224,RB1
225,CASP9
226,DHX29
227,USP16
228,TMEM41B
229,PLEKHH1
230,DHX8
231,DMWD
232,TMOD3
233,CMTR1
234,SLA
235,ARAP2
236,PDE6B
237,KLHL4
238,KRT13
239,NCF4
240,GPC3
241,ZNF791
242,NDUFB11
243,TMEM63B
244,GSR
245,PRPSAP2
246,MAP2K6
247,TPM4
248,ESR1
249,HELZ
250,XRCC5
251,SHOX
252,RPRD1A
253,IVD
254,DDX18
255,CDK14
256,NFX1
257,PRKD1
258,LIMK2
259,AFF3
260,TFAP2B
261,CIR1
262,SCYL1
263,RP2
264,TLE1
265,PIK3C2B
266,MAD2L1BP
267,KCNAB3
268,TFCP2
269,TBRG4
270,DENND3
271,FNBP1L
272,PCDHA6
273,RAD51
274,PPP1R13L
275,ETV6
276,SMC6
277,DDX59
278,RNF2
279,TUB
280,RMND5A
281,ELMOD3
282,POLR3G
283,ZNF169
284,DEDD2
285,CRY2
286,ZBTB5
287,SDC4
288,ZNF483
289,XYLB
290,TECR
291,FAM50B
292,ZNF251
293,SLC20A1
294,RFC3
295,SMC1A
296,NDUFAF2
297,YIPF5
298,ECEL1
299,NUB1
300,AUP1
301,ZC3H12A
302,INO80B
303,HHEX
304,TBCA
305,TPR
306,SGMS1
307,ATG7
308,STK11
309,CCDC174
310,SLC31A2
311,S100A16
312,LIN28B
313,CASC3
314,PCMTD1
315,USF2
316,TOB1
317,CENPM
318,KLF7
319,PHKB
320,NPAS1
321,LONRF1
322,RABGGTA
323,NR2F1
324,MSC
325,TAF5
326,NSUN3
327,EVI5
328,PPIL4
329,PDCL3
330,ACKR3
331,SAMD1
332,CPPED1
333,SHPRH
334,HOXB2
335,SLC37A3
336,ZNF497
337,HAUS2
338,TRIM33
339,SKP2
