,genes
0,NDUFV1
1,PSD
2,RPS13
3,FYN
4,JUP
5,SFPQ
6,UQCRC2
7,CDH13
8,FLOT1
9,HNRNPA2B1
10,TNIK
11,PRDX1
12,PKM
13,EIF3L
14,ARPC1A
15,RPS8
16,TPI1
17,KBTBD11
18,HSP90AA1
19,HNRNPK
20,CS
21,MARK3
22,RPSA
23,CEP170
24,AGK
25,NCL
26,CTNNB1
27,NSF
28,ARHGDIA
29,USO1
30,CRIP2
31,GPRIN1
32,PITPNM1
33,RPL35
34,ACTN1
35,DCTN2
36,NEGR1
37,GNAL
38,HSDL1
39,CORO2B
40,CASKIN1
41,CAPZA2
42,PRNP
43,DDOST
44,ATP6V1H
45,ABI1
46,SPTAN1
47,SCCPDH
48,SORBS1
49,PTPRD
50,MAPK8IP3
51,SPTBN1
52,PACS1
53,DNAJB1
54,DNAJA2
55,TOM1L2
56,ACLY
57,SH3GL2
58,HUWE1
59,PAFAH1B1
60,RPS2
61,PCMT1
62,STRN3
63,ARHGAP33
64,RPL29
65,ATP6V1B2
66,HNRNPA3
67,RTN4
68,MATR3
69,HK1
70,NDUFS3
71,RTN3
72,VPS51
73,HSP90AB1
74,NDUFS8
75,NDUFS2
76,TRIM2
77,GPC1
78,CCT5
79,DCTN1
80,VAPA
81,YBX1
82,GNB4
83,PPP3CA
84,RAPGEF2
85,GAP43
86,SMPD3
87,TANC2
88,RPL19
89,EFR3B
90,SYNCRIP
91,ATP6V1E1
92,NAV1
93,PIP4K2B
94,CCT7
95,RPL10A
96,CCT8
97,CCT2
98,EXOC4
99,TKT
100,PDCD6IP
101,ALDOA
102,MACF1
103,FUS
104,STRN4
105,SORBS2
106,TXNL1
107,PABPC1
108,RPL4
109,HIP1R
110,RPS10
111,ATP2A2
112,BIN1
113,MAPRE1
114,CCT4
115,GNAS
116,EIF3A
117,RPL23A
118,PRKACA
119,EXOC8
120,STXBP5
121,CACNB3
122,PPP2R5E
123,KPNB1
124,UBXN6
125,HOMER1
126,PPP3CB
127,DPYSL2
128,CLIP1
129,CAMKV
130,ANK3
131,VAPB
132,TMED10
133,DLD
134,EEF1A2
135,CSNK2A2
136,GPRIN3
137,PCBP2
138,APP
139,UPF1
140,STOML2
141,CASK
142,HMGB1
143,WDR47
144,YWHAB
145,GPI
146,DNAJC11
147,TUBB2A
148,RPL18
149,VDAC2
150,UCHL1
151,PHB
152,ABI2
153,NDUFA13
154,RPL10
155,CSNK2A1
156,MARK2
157,ATP6V1A
158,TUBB2B
159,RPL17
160,TMOD2
161,DPYSL5
162,PRKAR2B
163,EXOC6B
164,ACTN4
165,PGAM5
166,ACO2
167,OGDH
168,UBA1
169,HNRNPA1
170,TUBB4A
171,TUBA1A
172,YWHAQ
173,HSPH1
174,SLC25A3
175,RPL8
176,NCKAP1
177,EIF4G1
178,CAPN5
179,CTNND2
180,HSPA12A
181,NAP1L4
182,CCT6A
183,SOGA3
184,STXBP1
185,BAIAP2
186,UBAP2L
187,AAK1
188,KIF5B
189,SH3GLB1
190,MYH9
191,RPS3
192,MYO5A
193,NDUFB8
194,FXR2
195,GNB2
196,MAP1B
197,ALDOC
198,GIT1
199,NDUFA9
200,HNRNPM
201,ATAT1
202,TRIO
203,RPN1
204,ADD2
205,CAMK2D
206,GLUD1
207,FSCN1
208,CDH2
209,AP2A1
210,NLGN2
211,RTN1
212,NCDN
213,CDC42
214,SRGAP3
215,SAMM50
216,VDAC3
217,MPRIP
218,CAP1
219,EFNB2
220,DDB1
221,INA
222,NBEA
223,PDHA1
224,HSPA9
225,ZC2HC1A
226,GDAP1
227,CKB
228,PPP2R5C
229,RPL14
230,WDR7
231,RPL13
232,RPS14
233,CAND1
234,NEFM
235,SLC25A22
236,SSBP1
237,THY1
238,VPS35
239,TPM1
240,GSK3B
241,WNK2
242,L1CAM
243,PDIA6
244,SCRN1
245,MAP1S
246,PAICS
247,EPN2
248,ARPC5
249,EPB41L3
250,CNKSR2
251,MARCKSL1
252,MAP1A
253,RPL18A
254,CORO1A
255,CDK5
256,TUBB3
257,KALRN
258,DNM1
259,PKP4
260,DPYSL4
261,DYNC1LI2
262,EEF1A1
263,SEC23A
264,AMPH
265,CTNND1
266,NDUFA10
267,DLAT
268,KIF5C
269,PDHB
270,PSMC2
271,KCTD12
272,DLGAP4
273,RPN2
274,PDHX
275,RPS5
276,PPP2R1A
277,DPYSL3
278,RPS6
279,MTCH2
280,DBN1
281,IQSEC1
282,PSMC1
283,NPTN
284,RPL27A
285,AP1B1
286,RGS12
287,TLN2
288,NCAM1
289,PALM
290,AP2A2
291,CLASP2
292,PSD3
293,ARPC2
294,RPL7
295,VCAN
296,CAPZB
297,PLXNA1
298,KIF2A
299,DCTN4
300,LDHB
301,CAMK2G
302,PHB2
303,RPL23
304,HADHA
305,PRKACB
306,COX4I1
307,MAP7D1
308,SLC25A5
309,HADHB
310,ACAT1
311,STUB1
312,RPL26
313,CNP
314,SRGAP2
315,HNRNPL
316,DYNC1LI1
317,CDC42BPB
318,STX7
319,MADD
320,CTTN
321,PSMA6
322,EXOC2
323,ATXN2L
324,PSMB1
325,IST1
326,CLTA
327,RPS11
328,SRCIN1
329,RPLP0
330,ACTR2
331,GAPDH
332,EPS15L1
333,BCR
334,RPS18
335,AP2B1
336,TWF2
337,MAPRE3
338,TRIM3
339,CSE1L
340,GDAP1L1
341,CCT3
342,DOCK4
343,PSMA1
344,PLEC
345,ENO2
346,DNAJC6
347,ASAP1
348,CAMSAP1
349,GAK
350,DAAM1
351,PDE2A
352,RAC1
353,G3BP2
354,PPP2R2A
355,LDHA
356,GSK3A
357,CTNNA1
358,UQCRC1
359,LSAMP
360,PTPRS
361,RALA
362,DCLK1
363,SRPK2
364,VPS4A
365,CYFIP2
366,RPL30
367,CKAP5
368,GNAZ
369,RPS20
370,MDH2
371,RPL11
372,OGT
373,NDUFV2
374,SYNGAP1
375,PSPC1
376,MAPT
377,AP3D1
378,BASP1
379,AP2M1
380,EEF1D
381,FBXO41
382,DNM1L
383,COPS4
384,MAP4
385,KLC2
386,ERC1
387,PPP3CC
388,KIF21A
389,ITSN1
390,TUBA4A
391,NDUFS1
392,VCP
393,FMR1
394,RPS3A
395,PHGDH
396,EXOC1
397,ABLIM1
