Group,Phe_No
Syndromic,32
Syndromic,240
Syndromic,107
Syndromic,90
Syndromic,232
Syndromic,129
Syndromic,64
Syndromic,226
Syndromic,72
Syndromic,81
Syndromic,94
Syndromic,62
Syndromic,70
Syndromic,59
Syndromic,6
Syndromic,381
Syndromic,27
Syndromic,92
Syndromic,222
Syndromic,27
Syndromic,359
Syndromic,6
Syndromic,48
Syndromic,391
Syndromic,116
Syndromic,35
Syndromic,409
Syndromic,42
Syndromic,15
Syndromic,316
Syndromic,398
Syndromic,399
Syndromic,393
Syndromic,48
Syndromic,62
Syndromic,92
Syndromic,45
Syndromic,1
Syndromic,258
Syndromic,123
Syndromic,187
Syndromic,133
Syndromic,317
Syndromic,77
Syndromic,68
Syndromic,94
Syndromic,306
Syndromic,93
Syndromic,35
Syndromic,351
Syndromic,129
Syndromic,100
Syndromic,167
Syndromic,145
Syndromic,17
Syndromic,87
Syndromic,95
Syndromic,100
Syndromic,166
Syndromic,6
Syndromic,56
Syndromic,213
Syndromic,96
Syndromic,115
Syndromic,25
Syndromic,262
Syndromic,147
Syndromic,1
Syndromic,117
Syndromic,7
Syndromic,262
Syndromic,271
Syndromic,258
Syndromic,166
Syndromic,22
Syndromic,74
Syndromic,598
Syndromic,114
Syndromic,285
Syndromic,62
Syndromic,207
Syndromic,220
Syndromic,36
Syndromic,13
Syndromic,76
Syndromic,52
Syndromic,66
Syndromic,124
Syndromic,381
Syndromic,94
Syndromic,27
Syndromic,14
Syndromic,232
Syndromic,80
Syndromic,392
Non-Syndromic,11
Non-Syndromic,48
Non-Syndromic,217
Non-Syndromic,22
Non-Syndromic,85
Non-Syndromic,53
Non-Syndromic,117
Non-Syndromic,1
Non-Syndromic,30
Non-Syndromic,19
Non-Syndromic,23
Non-Syndromic,18
Non-Syndromic,6
Non-Syndromic,462
Non-Syndromic,1
Non-Syndromic,154
Non-Syndromic,32
Non-Syndromic,37
Non-Syndromic,37
Non-Syndromic,40
Non-Syndromic,22
Non-Syndromic,61
Non-Syndromic,38
Non-Syndromic,154
Non-Syndromic,45
Non-Syndromic,291
Non-Syndromic,422
Non-Syndromic,52
Non-Syndromic,99
Non-Syndromic,44
Non-Syndromic,136
Non-Syndromic,6
Non-Syndromic,50
Non-Syndromic,93
Non-Syndromic,418
Non-Syndromic,31
Non-Syndromic,19
Non-Syndromic,94
Non-Syndromic,31
Non-Syndromic,68
Non-Syndromic,10
Non-Syndromic,116
Non-Syndromic,28
Non-Syndromic,32
Non-Syndromic,93
Non-Syndromic,58
Non-Syndromic,172
Non-Syndromic,10
Non-Syndromic,11
Non-Syndromic,266
Non-Syndromic,146
Non-Syndromic,51
Non-Syndromic,140
Non-Syndromic,35
Non-Syndromic,194
Non-Syndromic,68
Non-Syndromic,144
Non-Syndromic,85
Non-Syndromic,54
Non-Syndromic,12
Non-Syndromic,72
Non-Syndromic,205
Non-Syndromic,379
Non-Syndromic,1
Non-Syndromic,63
Non-Syndromic,10
Non-Syndromic,258
Non-Syndromic,113
Non-Syndromic,25
Non-Syndromic,212
Non-Syndromic,10
Non-Syndromic,195
Non-Syndromic,24
Non-Syndromic,29
Non-Syndromic,46
Non-Syndromic,98
Non-Syndromic,15
Non-Syndromic,40
Non-Syndromic,26
Non-Syndromic,126
Non-Syndromic,115
Non-Syndromic,57
Non-Syndromic,91
Non-Syndromic,5
Non-Syndromic,94
Non-Syndromic,398
Non-Syndromic,63
Non-Syndromic,70
Non-Syndromic,131
Non-Syndromic,135
Non-Syndromic,371
Non-Syndromic,48
Non-Syndromic,14
Non-Syndromic,13
Non-Syndromic,6
